model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
Qwen_Qwen3.5-9B,9616,False,close,17,False,0.0,0.0
Qwen_Qwen3.5-9B,16467,False,deep,19,True,0.0,0.10526315789473684
Qwen_Qwen3.5-9B,11199,False,close,20,True,0.0,0.05
Qwen_Qwen3.5-9B,16120,True,close,5,True,0.0,0.2
Qwen_Qwen3.5-9B,1154,False,close,18,False,0.0,0.0
Qwen_Qwen3.5-9B,62,False,close,19,True,0.0,0.05263157894736842
Qwen_Qwen3.5-9B,16152,True,deep,6,False,0.0,0.0
Qwen_Qwen3.5-9B,9624,False,close,19,False,0.0,0.0
Qwen_Qwen3.5-9B,4779,False,close,19,True,0.0,0.15789473684210525
Qwen_Qwen3.5-9B,17775,True,close,10,True,0.0,0.1
Qwen_Qwen3.5-9B,4032,True,close,2,False,0.0,0.0
Qwen_Qwen3.5-9B,15613,False,close,18,False,0.6666666666666666,0.0
Qwen_Qwen3.5-9B,4784,False,close,19,False,0.0,0.15789473684210525
Qwen_Qwen3.5-9B,6359,False,close,19,True,0.05263157894736842,0.21052631578947367
Qwen_Qwen3.5-9B,9457,False,close,18,False,0.0,0.0
Qwen_Qwen3.5-9B,10529,False,deep,19,True,0.0,0.21052631578947367
Qwen_Qwen3.5-9B,6575,False,deep,20,True,0.05,0.0
Qwen_Qwen3.5-9B,3411,False,deep,19,False,0.0,0.0
Qwen_Qwen3.5-9B,15245,False,deep,19,True,0.05263157894736842,0.10526315789473684
Qwen_Qwen3.5-9B,10986,False,deep,19,True,0.0,0.2631578947368421
Qwen_Qwen3.5-9B,4368,False,deep,19,False,0.0,0.10526315789473684
Qwen_Qwen3.5-9B,11263,False,close,17,True,0.0,0.0
Qwen_Qwen3.5-9B,16864,False,close,19,True,0.0,0.0
Qwen_Qwen3.5-9B,17361,True,deep,12,True,0.0,0.25
Qwen_Qwen3.5-9B,1551,True,deep,18,True,0.0,0.0
Qwen_Qwen3.5-9B,16096,True,deep,9,True,0.0,0.3333333333333333
Qwen_Qwen3.5-9B,9650,False,deep,18,False,0.05555555555555555,0.1111111111111111
Qwen_Qwen3.5-9B,4313,False,deep,19,True,0.0,0.2631578947368421
Qwen_Qwen3.5-9B,17047,False,close,19,True,0.0,0.05263157894736842
Qwen_Qwen3.5-9B,11006,False,close,19,False,0.0,0.0
Qwen_Qwen3.5-9B,9433,False,close,17,False,0.0,0.0
Qwen_Qwen3.5-9B,15508,False,close,19,True,0.10526315789473684,0.05263157894736842
Qwen_Qwen3.5-9B,1261,False,close,19,True,0.0,0.0
Qwen_Qwen3.5-9B,11459,False,deep,18,False,0.05555555555555555,0.1111111111111111
Qwen_Qwen3.5-9B,11921,False,close,19,False,0.0,0.0
