game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,True,8,19,19,False,11,0,0,11,1.0,5,0,5,1.0,3,11,0.2727272727272727
16467,plant,conifer,deep,6,False,8,,20,True,10,2,0,12,0.8333333333333334,4,2,6,0.6666666666666666,2,12,0.16666666666666666
11199,food,pie,close,4,True,2,8,8,False,4,2,0,6,0.6666666666666666,3,1,4,0.75,1,6,0.16666666666666666
16120,plant,woody_plant,close,3,False,9,,20,True,9,2,0,11,0.8181818181818182,8,2,10,0.8,2,11,0.18181818181818182
1154,animal,aquatic_vertebrate,close,4,False,8,,20,True,10,2,0,12,0.8333333333333334,10,2,12,0.8333333333333334,2,12,0.16666666666666666
62,animal,vertebrate,close,3,False,9,,20,True,9,2,0,11,0.8181818181818182,9,2,11,0.8181818181818182,2,11,0.18181818181818182
16152,plant,conifer,deep,6,False,8,,20,True,12,0,0,12,1.0,1,0,1,1.0,3,12,0.25
9624,body_part,sense_organ,close,3,False,9,,20,True,9,2,0,11,0.8181818181818182,5,2,7,0.7142857142857143,2,11,0.18181818181818182
4779,artifact,electrical_device,close,4,False,9,,20,True,10,1,0,11,0.9090909090909091,9,1,10,0.9,0,11,0.0
17775,plant,angiosperm,close,4,False,8,,20,True,11,1,0,12,0.9166666666666666,5,0,5,1.0,2,12,0.16666666666666666
4032,body_part,internal_organ,close,3,False,9,,20,True,10,1,0,11,0.9090909090909091,7,1,8,0.875,3,11,0.2727272727272727
15613,plant,tree,close,4,False,8,,20,True,9,3,0,12,0.75,4,0,4,1.0,4,12,0.3333333333333333
4784,artifact,electrical_device,close,4,False,9,,20,True,11,0,0,11,1.0,4,0,4,1.0,1,11,0.09090909090909091
6359,artifact,bag,close,4,True,2,6,6,False,3,1,0,4,0.75,1,0,1,1.0,1,4,0.25
9457,body_part,muscle,close,4,True,4,10,10,False,5,1,0,6,0.8333333333333334,4,1,5,0.8,1,6,0.16666666666666666
10529,food,sugar,deep,6,False,9,,20,True,11,0,0,11,1.0,6,0,6,1.0,0,11,0.0
6575,artifact,ship,deep,7,False,9,,20,True,7,4,0,11,0.6363636363636364,3,3,6,0.5,3,11,0.2727272727272727
3411,animal,New_World_warbler,deep,8,False,8,,20,True,9,3,0,12,0.75,7,2,9,0.7777777777777778,2,12,0.16666666666666666
15245,plant,cycad,deep,5,False,8,,20,True,11,1,0,12,0.9166666666666666,8,1,9,0.8888888888888888,2,12,0.16666666666666666
10986,food,ice_cream,deep,6,False,8,,20,True,12,0,0,12,1.0,5,0,5,1.0,1,12,0.08333333333333333
4368,body_part,bone,deep,5,True,8,20,20,False,10,2,0,12,0.8333333333333334,6,0,6,1.0,2,12,0.16666666666666666
11263,food,pie,close,4,True,1,3,3,False,1,1,0,2,0.5,1,1,2,0.5,0,2,0.0
16864,plant,tree,close,4,True,6,14,14,False,7,1,0,8,0.875,6,1,7,0.8571428571428571,1,8,0.125
17361,plant,magnolia,deep,6,True,1,4,4,False,2,1,0,3,0.6666666666666666,2,1,3,0.6666666666666666,0,3,0.0
1551,body_part,bone,deep,5,True,7,15,15,False,4,4,0,8,0.5,2,2,4,0.5,2,8,0.25
16096,plant,conifer,deep,6,False,8,,20,True,10,2,0,12,0.8333333333333334,5,0,5,1.0,1,12,0.08333333333333333
9650,body_part,mucous_membrane,deep,5,True,2,7,7,False,4,1,0,5,0.8,2,0,2,1.0,0,5,0.0
4313,body_part,bone,deep,5,True,1,5,5,False,3,1,0,4,0.75,2,1,3,0.6666666666666666,1,4,0.25
17047,plant,woody_plant,close,3,False,8,,20,True,11,1,0,12,0.9166666666666666,5,0,5,1.0,4,12,0.3333333333333333
11006,food,dessert,close,4,True,6,15,15,False,9,0,0,9,1.0,5,0,5,1.0,1,9,0.1111111111111111
9433,body_part,muscle,close,4,True,1,4,4,False,2,1,0,3,0.6666666666666666,0,0,0,0,1,3,0.3333333333333333
15508,plant,woody_plant,close,3,True,8,18,18,False,10,0,0,10,1.0,3,0,3,1.0,0,10,0.0
1261,animal,vertebrate,close,3,True,6,15,15,False,8,1,0,9,0.8888888888888888,6,1,7,0.8571428571428571,1,9,0.1111111111111111
11459,food,conserve,deep,6,True,6,13,13,False,4,3,0,7,0.5714285714285714,4,3,7,0.5714285714285714,1,7,0.14285714285714285
11921,food,bread,close,4,True,1,4,4,False,2,1,0,3,0.6666666666666666,1,1,2,0.5,1,3,0.3333333333333333
15790,plant,fir,deep,7,False,9,,20,True,9,2,0,11,0.8181818181818182,8,2,10,0.8,1,11,0.09090909090909091
11384,food,cake,close,3,True,9,20,20,False,9,2,0,11,0.8181818181818182,6,2,8,0.75,3,11,0.2727272727272727
6380,artifact,container,close,3,True,1,4,4,False,2,1,0,3,0.6666666666666666,0,0,0,0,1,3,0.3333333333333333
6606,artifact,warship,deep,8,False,9,,20,True,11,0,0,11,1.0,3,0,3,1.0,4,11,0.36363636363636365
11016,food,ice_cream,deep,6,False,8,,20,True,10,2,0,12,0.8333333333333334,6,0,6,1.0,4,12,0.3333333333333333
1725,animal,shark,deep,8,True,7,17,17,False,6,4,0,10,0.6,6,2,8,0.75,2,10,0.2
1066,animal,aquatic_vertebrate,close,4,False,8,,20,True,7,5,0,12,0.5833333333333334,4,2,6,0.6666666666666666,3,12,0.25
6543,artifact,ship,deep,7,False,9,,20,True,10,1,0,11,0.9090909090909091,4,0,4,1.0,4,11,0.36363636363636365
