game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,False,3,,20,True,13,4,0,17,0.7647058823529411,13,3,16,0.8125,2,17,0.11764705882352941
16467,plant,conifer,deep,6,False,1,,20,True,4,15,0,19,0.21052631578947367,4,13,17,0.23529411764705882,9,19,0.47368421052631576
11199,food,pie,close,4,False,0,,20,True,13,7,0,20,0.65,11,7,18,0.6111111111111112,6,20,0.3
16120,plant,woody_plant,close,3,True,1,6,6,False,3,2,0,5,0.6,3,0,3,1.0,2,5,0.4
1154,animal,aquatic_vertebrate,close,4,False,2,,20,True,7,11,0,18,0.3888888888888889,4,8,12,0.3333333333333333,8,18,0.4444444444444444
62,animal,vertebrate,close,3,False,1,,20,True,11,8,0,19,0.5789473684210527,11,5,16,0.6875,6,19,0.3157894736842105
16152,plant,conifer,deep,6,True,1,7,7,False,1,5,0,6,0.16666666666666666,0,4,4,0.0,2,6,0.3333333333333333
9624,body_part,sense_organ,close,3,False,1,,20,True,11,8,0,19,0.5789473684210527,11,8,19,0.5789473684210527,3,19,0.15789473684210525
4779,artifact,electrical_device,close,4,False,1,,20,True,16,3,0,19,0.8421052631578947,13,3,16,0.8125,2,19,0.10526315789473684
17775,plant,angiosperm,close,4,True,1,11,11,False,7,3,0,10,0.7,5,3,8,0.625,3,10,0.3
4032,body_part,internal_organ,close,3,True,1,3,3,False,1,1,0,2,0.5,1,1,2,0.5,1,2,0.5
15613,plant,tree,close,4,False,2,,20,True,15,3,0,18,0.8333333333333334,6,0,6,1.0,10,18,0.5555555555555556
4784,artifact,electrical_device,close,4,False,1,,20,True,17,2,0,19,0.8947368421052632,14,2,16,0.875,2,19,0.10526315789473684
6359,artifact,bag,close,4,False,1,,20,True,18,1,0,19,0.9473684210526315,13,1,14,0.9285714285714286,2,19,0.10526315789473684
9457,body_part,muscle,close,4,False,2,,20,True,14,4,0,18,0.7777777777777778,9,3,12,0.75,1,18,0.05555555555555555
10529,food,sugar,deep,6,False,1,,20,True,9,10,0,19,0.47368421052631576,7,5,12,0.5833333333333334,6,19,0.3157894736842105
6575,artifact,ship,deep,7,False,0,,20,True,15,5,0,20,0.75,14,5,19,0.7368421052631579,2,20,0.1
3411,animal,New_World_warbler,deep,8,False,1,,20,True,7,12,0,19,0.3684210526315789,7,12,19,0.3684210526315789,9,19,0.47368421052631576
15245,plant,cycad,deep,5,False,1,,20,True,13,6,0,19,0.6842105263157895,11,5,16,0.6875,5,19,0.2631578947368421
10986,food,ice_cream,deep,6,False,1,,20,True,8,11,0,19,0.42105263157894735,7,3,10,0.7,4,19,0.21052631578947367
4368,body_part,bone,deep,5,False,1,,20,True,12,7,0,19,0.631578947368421,8,6,14,0.5714285714285714,5,19,0.2631578947368421
11263,food,pie,close,4,False,2,,20,True,9,8,1,18,0.5294117647058824,9,7,16,0.5625,5,17,0.29411764705882354
16864,plant,tree,close,4,False,1,,20,True,14,5,0,19,0.7368421052631579,14,5,19,0.7368421052631579,2,19,0.10526315789473684
17361,plant,magnolia,deep,6,True,1,13,13,False,6,6,0,12,0.5,4,5,9,0.4444444444444444,1,12,0.08333333333333333
1551,body_part,bone,deep,5,True,1,19,19,False,10,8,0,18,0.5555555555555556,10,7,17,0.5882352941176471,4,18,0.2222222222222222
16096,plant,conifer,deep,6,True,1,10,10,False,5,4,0,9,0.5555555555555556,2,3,5,0.4,4,9,0.4444444444444444
9650,body_part,mucous_membrane,deep,5,False,2,,20,True,14,4,0,18,0.7777777777777778,12,2,14,0.8571428571428571,5,18,0.2777777777777778
4313,body_part,bone,deep,5,False,1,,20,True,16,3,0,19,0.8421052631578947,11,2,13,0.8461538461538461,4,19,0.21052631578947367
17047,plant,woody_plant,close,3,False,1,,20,True,13,6,0,19,0.6842105263157895,12,5,17,0.7058823529411765,5,19,0.2631578947368421
11006,food,dessert,close,4,False,1,,20,True,10,9,0,19,0.5263157894736842,8,8,16,0.5,6,19,0.3157894736842105
9433,body_part,muscle,close,4,False,3,,20,True,12,5,0,17,0.7058823529411765,4,3,7,0.5714285714285714,3,17,0.17647058823529413
15508,plant,woody_plant,close,3,False,1,,20,True,13,6,0,19,0.6842105263157895,11,5,16,0.6875,6,19,0.3157894736842105
1261,animal,vertebrate,close,3,False,1,,20,True,11,8,0,19,0.5789473684210527,11,7,18,0.6111111111111112,7,19,0.3684210526315789
11459,food,conserve,deep,6,False,1,,20,True,6,12,1,19,0.3333333333333333,4,11,15,0.26666666666666666,11,18,0.6111111111111112
11921,food,bread,close,4,False,1,,20,True,9,10,0,19,0.47368421052631576,9,7,16,0.5625,7,19,0.3684210526315789
15790,plant,fir,deep,7,False,1,,20,True,6,13,0,19,0.3157894736842105,4,13,17,0.23529411764705882,10,19,0.5263157894736842
11384,food,cake,close,3,True,1,7,7,False,0,6,0,6,0.0,0,6,6,0.0,4,6,0.6666666666666666
6380,artifact,container,close,3,False,0,,20,True,15,5,0,20,0.75,12,2,14,0.8571428571428571,2,20,0.1
6606,artifact,warship,deep,8,False,1,,20,True,11,8,0,19,0.5789473684210527,6,7,13,0.46153846153846156,6,19,0.3157894736842105
11016,food,ice_cream,deep,6,False,1,,20,True,8,11,0,19,0.42105263157894735,7,4,11,0.6363636363636364,6,19,0.3157894736842105
1725,animal,shark,deep,8,False,2,,20,True,9,9,0,18,0.5,8,6,14,0.5714285714285714,5,18,0.2777777777777778
1066,animal,aquatic_vertebrate,close,4,True,1,7,7,False,2,4,0,6,0.3333333333333333,0,1,1,0.0,2,6,0.3333333333333333
6543,artifact,ship,deep,7,False,0,,20,True,16,4,0,20,0.8,10,1,11,0.9090909090909091,6,20,0.3
11697,food,beefsteak,deep,5,False,1,,20,True,12,7,0,19,0.631578947368421,6,5,11,0.5454545454545454,8,19,0.42105263157894735
5807,artifact,cutting_implement,deep,5,False,1,,20,True,14,2,3,19,0.875,7,1,8,0.875,4,16,0.25
9949,body_part,artery,deep,6,True,1,8,8,False,1,6,0,7,0.14285714285714285,1,6,7,0.14285714285714285,4,7,0.5714285714285714
17257,plant,woody_plant,close,3,False,1,,20,True,9,10,0,19,0.47368421052631576,7,10,17,0.4117647058823529,7,19,0.3684210526315789
1136,animal,bony_fish,deep,6,False,0,,20,True,8,12,0,20,0.4,5,10,15,0.3333333333333333,10,20,0.5
12016,food,bread,close,4,True,1,20,20,False,10,8,1,19,0.5555555555555556,9,7,16,0.5625,6,18,0.3333333333333333
10981,food,frozen_dessert,deep,5,False,1,,20,True,6,13,0,19,0.3157894736842105,4,8,12,0.3333333333333333,8,19,0.42105263157894735
