model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
moonshotai_Kimi-K2.5,9616,False,close,19,False,0.0,0.0
moonshotai_Kimi-K2.5,16467,True,deep,10,False,0.0,0.1
moonshotai_Kimi-K2.5,11199,False,close,20,True,0.0,0.2
moonshotai_Kimi-K2.5,16120,True,close,9,False,0.0,0.1111111111111111
moonshotai_Kimi-K2.5,1154,True,close,6,True,0.0,0.3333333333333333
moonshotai_Kimi-K2.5,62,True,close,4,False,0.0,0.0
moonshotai_Kimi-K2.5,16152,False,deep,19,True,0.05263157894736842,0.21052631578947367
moonshotai_Kimi-K2.5,9624,False,close,19,False,0.0,0.15789473684210525
moonshotai_Kimi-K2.5,4779,True,close,10,False,0.0,0.0
moonshotai_Kimi-K2.5,17775,True,close,5,True,0.2,0.2
moonshotai_Kimi-K2.5,4032,False,close,18,False,0.0,0.1111111111111111
moonshotai_Kimi-K2.5,15613,True,close,10,False,0.4,0.0
moonshotai_Kimi-K2.5,4784,True,close,9,True,0.0,0.3333333333333333
moonshotai_Kimi-K2.5,6359,False,close,19,True,0.5263157894736842,0.3684210526315789
moonshotai_Kimi-K2.5,9457,False,close,19,True,0.05263157894736842,0.15789473684210525
moonshotai_Kimi-K2.5,10529,False,deep,19,True,0.0,0.2631578947368421
moonshotai_Kimi-K2.5,6575,False,deep,19,True,0.0,0.05263157894736842
moonshotai_Kimi-K2.5,3411,True,deep,6,False,0.0,0.0
moonshotai_Kimi-K2.5,15245,True,deep,8,False,0.0,0.0
moonshotai_Kimi-K2.5,10986,False,deep,16,False,0.0,0.125
moonshotai_Kimi-K2.5,4368,True,deep,7,False,0.0,0.0
moonshotai_Kimi-K2.5,11263,True,close,5,True,0.0,0.4
moonshotai_Kimi-K2.5,16864,True,close,7,True,0.0,0.0
moonshotai_Kimi-K2.5,17361,True,deep,9,True,0.0,0.0
moonshotai_Kimi-K2.5,1551,False,deep,19,True,0.0,0.10526315789473684
moonshotai_Kimi-K2.5,16096,True,deep,6,False,0.0,0.0
moonshotai_Kimi-K2.5,9650,False,deep,20,True,0.0,0.1
moonshotai_Kimi-K2.5,4313,False,deep,20,False,0.0,0.0
moonshotai_Kimi-K2.5,17047,True,close,17,True,0.0,0.058823529411764705
moonshotai_Kimi-K2.5,11006,True,close,8,False,0.0,0.0
moonshotai_Kimi-K2.5,9433,True,close,18,False,0.0,0.2222222222222222
