model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
mistralai_Mistral-Small-24B-Instruct-2501,9616,True,close,12,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,16467,True,deep,6,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,11199,False,close,14,False,0.0,0.07142857142857142
mistralai_Mistral-Small-24B-Instruct-2501,16120,False,close,15,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,1154,True,close,13,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,62,False,close,19,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,16152,False,deep,18,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,9624,True,close,8,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,4779,False,close,14,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,17775,True,close,14,False,0.14285714285714285,0.0
mistralai_Mistral-Small-24B-Instruct-2501,4032,False,close,12,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,15613,False,close,15,False,0.6666666666666666,0.0
mistralai_Mistral-Small-24B-Instruct-2501,4784,False,close,14,False,0.0,0.42857142857142855
mistralai_Mistral-Small-24B-Instruct-2501,6359,False,close,16,False,0.0,0.125
mistralai_Mistral-Small-24B-Instruct-2501,9457,False,close,16,False,0.0,0.375
mistralai_Mistral-Small-24B-Instruct-2501,10529,False,deep,14,False,0.0,0.5714285714285714
mistralai_Mistral-Small-24B-Instruct-2501,6575,False,deep,17,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,3411,False,deep,18,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,15245,False,deep,14,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,10986,True,deep,10,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,4368,False,deep,15,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,11263,False,close,12,False,0.0,0.0
mistralai_Mistral-Small-24B-Instruct-2501,16864,False,close,16,False,0.0625,0.0625
