model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
gpt-5-nano,9616,False,close,19,False,0.0,0.0
gpt-5-nano,16467,False,deep,19,False,0.15789473684210525,0.2631578947368421
gpt-5-nano,11199,False,close,18,False,0.0,0.1111111111111111
gpt-5-nano,16120,False,close,19,True,0.0,0.05263157894736842
gpt-5-nano,1154,True,close,12,True,0.0,0.16666666666666666
gpt-5-nano,62,False,close,19,False,0.0,0.0
gpt-5-nano,16152,False,deep,19,False,0.0,0.0
gpt-5-nano,9624,False,close,19,False,0.0,0.0
gpt-5-nano,4779,False,close,17,False,0.0,0.0
gpt-5-nano,17775,False,close,19,True,0.2631578947368421,0.0
gpt-5-nano,4032,False,close,19,False,0.3684210526315789,0.21052631578947367
gpt-5-nano,15613,False,close,20,True,0.05,0.95
gpt-5-nano,4784,False,close,17,False,0.0,0.35294117647058826
gpt-5-nano,6359,False,close,20,True,0.0,0.6
gpt-5-nano,9457,False,close,12,False,0.0,0.08333333333333333
gpt-5-nano,10529,False,deep,19,False,0.05263157894736842,0.5263157894736842
gpt-5-nano,6575,False,deep,19,True,0.0,0.2631578947368421
gpt-5-nano,3411,False,deep,15,True,0.0,0.0
gpt-5-nano,15245,False,deep,16,True,0.25,0.375
gpt-5-nano,10986,False,deep,14,False,0.0,0.2857142857142857
gpt-5-nano,4368,False,deep,18,False,0.0,0.0
gpt-5-nano,11263,False,close,19,True,0.0,1.0
gpt-5-nano,16864,False,close,19,True,0.0,0.8947368421052632
gpt-5-nano,17361,False,deep,17,False,0.0,0.0
gpt-5-nano,1551,False,deep,20,False,0.0,0.0
gpt-5-nano,16096,False,deep,15,False,0.26666666666666666,0.06666666666666667
gpt-5-nano,9650,False,deep,17,False,0.0,0.0
gpt-5-nano,4313,False,deep,19,False,0.0,0.9473684210526315
gpt-5-nano,17047,False,close,15,True,0.13333333333333333,0.2
gpt-5-nano,11006,False,close,15,False,0.0,0.06666666666666667
gpt-5-nano,9433,False,close,20,False,0.0,0.0
gpt-5-nano,15508,False,close,19,True,0.10526315789473684,0.631578947368421
gpt-5-nano,1261,False,close,18,True,0.4444444444444444,0.4444444444444444
gpt-5-nano,11459,False,deep,17,False,0.0,0.0
gpt-5-nano,11921,True,close,12,False,0.0,0.0
gpt-5-nano,15790,False,deep,13,False,0.0,0.07692307692307693
gpt-5-nano,11384,False,close,19,True,0.0,0.21052631578947367
gpt-5-nano,6380,False,close,19,False,0.0,0.05263157894736842
gpt-5-nano,6606,False,deep,20,False,0.0,0.0
gpt-5-nano,11016,False,deep,16,False,0.0,0.0
gpt-5-nano,1725,False,deep,17,False,0.058823529411764705,0.058823529411764705
gpt-5-nano,1066,False,close,18,True,0.0,0.7777777777777778
gpt-5-nano,6543,False,deep,18,True,0.0,0.2222222222222222
gpt-5-nano,11697,False,deep,17,True,0.0,0.0
gpt-5-nano,5807,False,deep,17,True,0.17647058823529413,0.23529411764705882
gpt-5-nano,9949,False,deep,19,True,0.21052631578947367,0.05263157894736842
gpt-5-nano,17257,False,close,18,False,0.2222222222222222,0.0
gpt-5-nano,1136,True,deep,8,False,0.0,0.0
gpt-5-nano,12016,False,close,17,False,0.0,0.0
gpt-5-nano,10981,False,deep,18,False,0.0,0.0
gpt-5-nano,546,False,close,17,False,0.0,0.11764705882352941
gpt-5-nano,16249,False,deep,19,True,0.0,0.0
gpt-5-nano,6347,False,close,20,True,0.0,0.9
gpt-5-nano,3947,False,deep,20,False,0.0,0.55
gpt-5-nano,357,False,close,19,False,0.10526315789473684,0.631578947368421
gpt-5-nano,5506,False,close,19,True,0.47368421052631576,0.5263157894736842
gpt-5-nano,4288,False,deep,19,False,0.5263157894736842,0.15789473684210525
gpt-5-nano,4458,False,deep,19,True,0.47368421052631576,0.15789473684210525
gpt-5-nano,9334,False,close,16,False,0.0,0.0
gpt-5-nano,819,False,deep,17,False,0.0,0.17647058823529413
gpt-5-nano,3172,False,close,19,False,0.0,0.0
gpt-5-nano,3852,False,deep,16,False,0.0,0.125
gpt-5-nano,3966,False,deep,16,False,0.0,0.0
gpt-5-nano,17248,False,deep,20,False,0.0,0.0
gpt-5-nano,15310,False,close,16,True,0.0,0.0625
gpt-5-nano,10994,False,close,19,False,0.0,0.0
gpt-5-nano,2971,False,deep,17,False,0.0,0.0
gpt-5-nano,10237,False,deep,18,False,0.0,0.5555555555555556
gpt-5-nano,12095,False,deep,17,False,0.0,0.0
gpt-5-nano,5224,False,deep,20,False,0.0,0.0
gpt-5-nano,658,True,close,4,False,0.0,0.0
gpt-5-nano,1943,True,deep,3,True,0.0,0.3333333333333333
gpt-5-nano,16414,False,close,20,True,0.0,0.0
gpt-5-nano,4348,False,deep,18,True,0.0,0.0
gpt-5-nano,10838,False,close,18,False,0.0,0.0
gpt-5-nano,9596,False,close,20,False,0.05,0.05
gpt-5-nano,3743,True,deep,8,False,0.0,0.0
gpt-5-nano,4875,False,deep,20,True,0.4,0.6
gpt-5-nano,11376,True,close,7,False,0.0,0.0
gpt-5-nano,5516,False,close,18,False,0.0,0.05555555555555555
gpt-5-nano,15598,False,deep,18,True,0.1111111111111111,0.1111111111111111
gpt-5-nano,11059,True,deep,6,False,0.0,0.0
gpt-5-nano,2806,True,close,4,True,0.0,0.75
gpt-5-nano,6607,False,deep,17,True,0.17647058823529413,0.17647058823529413
gpt-5-nano,3192,False,close,16,False,0.0625,0.0
gpt-5-nano,16469,False,close,19,True,0.05263157894736842,0.8421052631578947
gpt-5-nano,5184,False,deep,20,False,0.0,0.0
gpt-5-nano,5652,False,deep,18,False,0.0,0.05555555555555555
gpt-5-nano,4465,False,close,18,True,0.1111111111111111,0.0
gpt-5-nano,5757,False,deep,19,True,0.0,0.0
gpt-5-nano,10074,True,deep,8,False,0.0,0.0
gpt-5-nano,5265,False,close,20,False,0.0,0.35
gpt-5-nano,4450,True,close,14,False,0.0,0.0
gpt-5-nano,5653,False,close,13,True,0.0,0.38461538461538464
gpt-5-nano,6396,False,close,19,False,0.0,0.8947368421052632
gpt-5-nano,4020,True,close,5,False,0.0,0.0
gpt-5-nano,10858,False,close,16,False,0.0,0.0
gpt-5-nano,15611,False,deep,16,False,0.0,0.0625
gpt-5-nano,12377,False,deep,12,False,0.0,0.0
gpt-5-nano,9670,False,deep,15,False,0.2,0.0
