model,game_id,success,distance_group,target_property,distance,positive_testing_bias,positive_testing_queries,negative_testing_queries,total_test_queries,oracle_annotation_count,oracle_error_count,oracle_any_error,oracle_error_rate,sampled_test_oracle_error,sampled_guess_oracle_error
MiniMaxAI_MiniMax-M2.5,9616,False,close,body_part,3,0.7368421052631579,14,5,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,16467,True,deep,plant,6,0.6666666666666666,6,3,9,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,11199,True,close,food,4,0.5,8,8,16,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,16120,False,close,plant,3,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,1154,False,close,animal,4,0.6842105263157895,13,6,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,62,True,close,animal,3,0.7333333333333333,11,4,15,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,16152,False,deep,plant,6,0.631578947368421,12,7,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,9624,False,close,body_part,3,0.9,18,2,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,4779,False,close,artifact,4,0.7368421052631579,14,5,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,17775,True,close,plant,4,0.7333333333333333,11,4,15,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4032,False,close,body_part,3,0.9473684210526315,18,1,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,15613,False,close,plant,4,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4784,False,close,artifact,4,0.7,14,6,20,1,0,False,0.0,False,
MiniMaxAI_MiniMax-M2.5,6359,False,close,artifact,4,0.5882352941176471,10,7,17,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,9457,False,close,body_part,4,0.7894736842105263,15,4,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,10529,False,deep,food,6,0.3157894736842105,6,13,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,6575,True,deep,artifact,7,0.7222222222222222,13,5,18,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,3411,True,deep,animal,8,0.5,4,4,8,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,15245,True,deep,plant,5,0.5,4,4,8,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,10986,False,deep,food,6,0.6666666666666666,12,6,18,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,4368,False,deep,body_part,5,0.5789473684210527,11,8,19,2,1,True,0.5,False,True
MiniMaxAI_MiniMax-M2.5,11263,False,close,food,4,0.47368421052631576,9,10,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,16864,True,close,plant,4,0.45454545454545453,5,6,11,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,17361,False,deep,plant,6,0.631578947368421,12,7,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,1551,False,deep,body_part,5,0.8947368421052632,17,2,19,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,16096,True,deep,plant,6,0.6923076923076923,9,4,13,2,0,False,0.0,False,False
MiniMaxAI_MiniMax-M2.5,9650,True,deep,body_part,5,0.8,8,2,10,2,2,True,1.0,True,True
