model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
gpt-5-mini,9616,True,close,5,False,0.0,0.0
gpt-5-mini,16467,False,deep,17,False,0.0,0.0
gpt-5-mini,11199,True,close,7,True,0.0,0.14285714285714285
gpt-5-mini,16120,False,close,18,True,0.16666666666666666,0.1111111111111111
gpt-5-mini,1154,True,close,4,False,0.0,0.0
gpt-5-mini,62,True,close,8,True,0.375,0.0
gpt-5-mini,16152,True,deep,5,False,0.0,0.0
gpt-5-mini,9624,False,close,18,False,0.05555555555555555,0.05555555555555555
gpt-5-mini,4779,False,close,19,False,0.0,0.3157894736842105
gpt-5-mini,17775,False,close,18,True,0.16666666666666666,0.0
gpt-5-mini,4032,False,close,18,False,0.0,0.05555555555555555
gpt-5-mini,15613,False,close,18,True,0.3888888888888889,0.2222222222222222
gpt-5-mini,4784,True,close,8,False,0.0,0.125
gpt-5-mini,6359,False,close,18,True,0.0,0.4444444444444444
gpt-5-mini,9457,True,close,5,False,0.0,0.0
gpt-5-mini,10529,False,deep,19,True,0.0,0.05263157894736842
gpt-5-mini,6575,False,deep,18,False,0.0,0.05555555555555555
gpt-5-mini,3411,False,deep,18,True,0.0,0.1111111111111111
gpt-5-mini,15245,False,deep,17,True,0.23529411764705882,0.058823529411764705
gpt-5-mini,10986,True,deep,3,False,0.0,0.0
gpt-5-mini,4368,True,deep,4,False,0.0,0.0
gpt-5-mini,11263,True,close,2,False,0.0,0.0
gpt-5-mini,16864,False,close,18,True,0.16666666666666666,0.1111111111111111
gpt-5-mini,17361,True,deep,14,False,0.0,0.0
gpt-5-mini,1551,True,deep,4,True,0.0,0.0
gpt-5-mini,16096,True,deep,7,False,0.0,0.0
gpt-5-mini,9650,False,deep,19,False,0.0,0.3684210526315789
gpt-5-mini,4313,True,deep,15,False,0.0,0.06666666666666667
gpt-5-mini,17047,False,close,17,True,0.058823529411764705,0.0
gpt-5-mini,11006,True,close,10,False,0.0,0.2
gpt-5-mini,9433,True,close,14,False,0.0,0.0
gpt-5-mini,15508,True,close,3,False,0.0,0.0
gpt-5-mini,1261,True,close,9,True,0.0,0.1111111111111111
gpt-5-mini,11459,True,deep,4,False,0.0,0.0
gpt-5-mini,11921,True,close,6,True,0.0,0.16666666666666666
gpt-5-mini,15790,True,deep,15,True,0.0,0.0
gpt-5-mini,11384,False,close,19,False,0.0,0.0
gpt-5-mini,6380,False,close,19,True,0.0,0.9473684210526315
gpt-5-mini,6606,False,deep,18,False,0.0,0.05555555555555555
gpt-5-mini,11016,True,deep,12,True,0.0,0.0
gpt-5-mini,1725,False,deep,18,True,0.1111111111111111,0.2222222222222222
gpt-5-mini,1066,False,close,18,True,0.05555555555555555,0.1111111111111111
gpt-5-mini,6543,False,deep,19,False,0.0,0.15789473684210525
gpt-5-mini,11697,True,deep,16,True,0.0,0.1875
gpt-5-mini,5807,False,deep,18,True,0.3333333333333333,0.1111111111111111
gpt-5-mini,9949,False,deep,19,True,0.0,0.10526315789473684
gpt-5-mini,17257,False,close,19,True,0.10526315789473684,0.15789473684210525
gpt-5-mini,1136,True,deep,17,True,0.17647058823529413,0.0
gpt-5-mini,12016,True,close,4,False,0.0,0.0
gpt-5-mini,10981,True,deep,8,False,0.0,0.0
gpt-5-mini,546,True,close,13,True,0.0,0.0
gpt-5-mini,16249,False,deep,18,True,0.0,0.05555555555555555
gpt-5-mini,6347,False,close,19,True,0.0,0.3157894736842105
gpt-5-mini,3947,True,deep,11,False,0.0,0.0
gpt-5-mini,357,True,close,4,False,0.0,0.0
gpt-5-mini,5506,False,close,20,True,0.8,0.15
gpt-5-mini,4288,True,deep,4,False,0.0,0.0
gpt-5-mini,4458,True,deep,3,False,0.0,0.0
gpt-5-mini,9334,False,close,19,False,0.05263157894736842,0.0
gpt-5-mini,819,True,deep,17,True,0.23529411764705882,0.058823529411764705
gpt-5-mini,3172,True,close,3,True,0.0,0.0
gpt-5-mini,3852,True,deep,12,True,0.0,0.3333333333333333
gpt-5-mini,3966,True,deep,5,False,0.0,0.0
gpt-5-mini,17248,False,deep,18,False,0.0,0.0
gpt-5-mini,15310,True,close,8,True,0.25,0.0
gpt-5-mini,10994,True,close,4,False,0.0,0.0
gpt-5-mini,2971,True,deep,9,True,0.0,0.0
gpt-5-mini,10237,True,deep,6,False,0.0,0.16666666666666666
gpt-5-mini,12095,False,deep,18,True,0.0,0.0
gpt-5-mini,5224,True,deep,10,False,0.0,0.0
gpt-5-mini,658,True,close,4,False,0.5,0.0
gpt-5-mini,1943,True,deep,5,True,0.0,0.0
gpt-5-mini,16414,False,close,19,True,0.10526315789473684,0.05263157894736842
gpt-5-mini,4348,True,deep,6,False,0.0,0.0
gpt-5-mini,10838,True,close,5,False,0.0,0.0
gpt-5-mini,9596,False,close,19,False,0.0,0.0
gpt-5-mini,3743,True,deep,4,False,0.0,0.0
gpt-5-mini,4875,False,deep,20,True,0.85,0.15
gpt-5-mini,11376,True,close,4,False,0.0,0.0
gpt-5-mini,5516,True,close,17,False,0.0,0.23529411764705882
gpt-5-mini,15598,True,deep,4,False,0.0,0.0
gpt-5-mini,11059,True,deep,7,False,0.0,0.0
gpt-5-mini,2806,True,close,8,True,0.125,0.625
gpt-5-mini,6607,False,deep,19,True,0.05263157894736842,0.0
gpt-5-mini,3192,False,close,18,True,0.0,0.16666666666666666
gpt-5-mini,16469,False,close,18,True,0.4444444444444444,0.2222222222222222
gpt-5-mini,5184,True,deep,11,True,0.0,0.0
gpt-5-mini,5652,False,deep,19,False,0.0,0.10526315789473684
gpt-5-mini,4465,False,close,19,True,0.05263157894736842,0.05263157894736842
gpt-5-mini,5757,True,deep,11,True,0.0,0.0
gpt-5-mini,10074,True,deep,5,False,0.0,0.0
gpt-5-mini,5265,False,close,18,True,0.0,0.0
gpt-5-mini,4450,True,close,6,False,0.0,0.0
gpt-5-mini,5653,False,close,17,False,0.0,0.11764705882352941
gpt-5-mini,6396,True,close,10,False,0.0,0.4
gpt-5-mini,4020,False,close,19,False,0.0,0.05263157894736842
gpt-5-mini,10858,True,close,4,False,0.0,0.0
gpt-5-mini,15611,True,deep,5,False,0.0,0.0
gpt-5-mini,12377,False,deep,18,True,0.05555555555555555,0.16666666666666666
gpt-5-mini,9670,True,deep,10,True,0.0,0.1
