game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,True,2,18,18,False,14,2,0,16,0.875,12,1,13,0.9230769230769231,2,16,0.125
16467,plant,conifer,deep,6,False,6,,20,True,9,5,0,14,0.6428571428571429,6,3,9,0.6666666666666666,4,14,0.2857142857142857
11199,food,pie,close,4,True,1,9,9,False,4,4,0,8,0.5,2,4,6,0.3333333333333333,4,8,0.5
16120,plant,woody_plant,close,3,True,2,11,11,False,8,1,0,9,0.8888888888888888,3,0,3,1.0,3,9,0.3333333333333333
1154,animal,aquatic_vertebrate,close,4,False,2,,20,True,13,5,0,18,0.7222222222222222,10,2,12,0.8333333333333334,4,18,0.2222222222222222
62,animal,vertebrate,close,3,True,1,11,11,False,6,4,0,10,0.6,6,2,8,0.75,2,10,0.2
16152,plant,conifer,deep,6,True,1,8,8,False,4,3,0,7,0.5714285714285714,2,1,3,0.6666666666666666,4,7,0.5714285714285714
9624,body_part,sense_organ,close,3,False,3,,20,True,16,1,0,17,0.9411764705882353,13,1,14,0.9285714285714286,4,17,0.23529411764705882
4779,artifact,electrical_device,close,4,False,4,,20,True,13,3,0,16,0.8125,12,2,14,0.8571428571428571,5,16,0.3125
17775,plant,angiosperm,close,4,False,2,,20,True,17,1,0,18,0.9444444444444444,10,1,11,0.9090909090909091,6,18,0.3333333333333333
4032,body_part,internal_organ,close,3,False,4,,20,True,11,5,0,16,0.6875,11,4,15,0.7333333333333333,4,16,0.25
15613,plant,tree,close,4,False,2,,20,True,12,6,0,18,0.6666666666666666,2,4,6,0.3333333333333333,9,18,0.5
4784,artifact,electrical_device,close,4,False,3,,20,True,10,7,0,17,0.5882352941176471,7,2,9,0.7777777777777778,4,17,0.23529411764705882
6359,artifact,bag,close,4,False,3,,20,True,15,2,0,17,0.8823529411764706,7,0,7,1.0,10,17,0.5882352941176471
9457,body_part,muscle,close,4,False,2,,20,True,14,4,0,18,0.7777777777777778,12,4,16,0.75,6,18,0.3333333333333333
10529,food,sugar,deep,6,False,4,,20,True,13,3,0,16,0.8125,12,3,15,0.8,2,16,0.125
6575,artifact,ship,deep,7,True,2,18,18,False,13,3,0,16,0.8125,12,1,13,0.9230769230769231,1,16,0.0625
3411,animal,New_World_warbler,deep,8,False,4,,20,True,14,2,0,16,0.875,12,2,14,0.8571428571428571,2,16,0.125
15245,plant,cycad,deep,5,True,1,8,8,False,1,6,0,7,0.14285714285714285,1,2,3,0.3333333333333333,2,7,0.2857142857142857
10986,food,ice_cream,deep,6,True,4,20,20,False,15,1,0,16,0.9375,12,1,13,0.9230769230769231,4,16,0.25
4368,body_part,bone,deep,5,True,2,15,15,False,9,4,0,13,0.6923076923076923,7,1,8,0.875,5,13,0.38461538461538464
11263,food,pie,close,4,True,3,18,18,False,6,9,0,15,0.4,5,6,11,0.45454545454545453,7,15,0.4666666666666667
16864,plant,tree,close,4,False,3,,20,True,15,2,0,17,0.8823529411764706,13,2,15,0.8666666666666667,3,17,0.17647058823529413
17361,plant,magnolia,deep,6,True,1,10,10,False,4,5,0,9,0.4444444444444444,4,3,7,0.5714285714285714,3,9,0.3333333333333333
1551,body_part,bone,deep,5,False,3,,20,True,10,7,0,17,0.5882352941176471,7,5,12,0.5833333333333334,5,17,0.29411764705882354
16096,plant,conifer,deep,6,True,3,18,18,False,11,4,0,15,0.7333333333333333,8,3,11,0.7272727272727273,3,15,0.2
9650,body_part,mucous_membrane,deep,5,True,2,13,13,False,7,4,0,11,0.6363636363636364,5,2,7,0.7142857142857143,3,11,0.2727272727272727
4313,body_part,bone,deep,5,False,5,,20,True,12,3,0,15,0.8,11,2,13,0.8461538461538461,3,15,0.2
17047,plant,woody_plant,close,3,True,1,9,9,False,5,3,0,8,0.625,3,1,4,0.75,1,8,0.125
11006,food,dessert,close,4,True,1,10,10,False,4,5,0,9,0.4444444444444444,4,4,8,0.5,3,9,0.3333333333333333
9433,body_part,muscle,close,4,True,1,9,9,False,5,3,0,8,0.625,4,1,5,0.8,1,8,0.125
15508,plant,woody_plant,close,3,False,2,,20,True,12,6,0,18,0.6666666666666666,7,4,11,0.6363636363636364,5,18,0.2777777777777778
1261,animal,vertebrate,close,3,True,1,13,13,False,7,5,0,12,0.5833333333333334,7,2,9,0.7777777777777778,3,12,0.25
11459,food,conserve,deep,6,True,2,15,15,False,8,5,0,13,0.6153846153846154,8,3,11,0.7272727272727273,4,13,0.3076923076923077
11921,food,bread,close,4,False,2,,20,True,14,4,0,18,0.7777777777777778,11,3,14,0.7857142857142857,3,18,0.16666666666666666
15790,plant,fir,deep,7,True,1,7,7,False,1,5,0,6,0.16666666666666666,1,2,3,0.3333333333333333,2,6,0.3333333333333333
11384,food,cake,close,3,True,4,19,19,False,2,13,0,15,0.13333333333333333,2,9,11,0.18181818181818182,9,15,0.6
6380,artifact,container,close,3,False,4,,20,True,14,2,0,16,0.875,5,0,5,1.0,5,16,0.3125
6606,artifact,warship,deep,8,False,2,,20,True,12,6,0,18,0.6666666666666666,9,3,12,0.75,6,18,0.3333333333333333
