model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,9616,True,close,11,False,0.0,0.45454545454545453
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,16467,False,deep,12,True,0.08333333333333333,0.4166666666666667
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,11199,True,close,6,False,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,16120,False,close,11,True,0.09090909090909091,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,1154,False,close,12,False,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,62,False,close,11,False,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,16152,False,deep,12,True,0.08333333333333333,0.75
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,9624,False,close,11,False,0.2727272727272727,0.09090909090909091
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,4779,False,close,11,False,0.0,0.09090909090909091
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,17775,False,close,12,True,0.16666666666666666,0.16666666666666666
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,4032,False,close,11,False,0.09090909090909091,0.18181818181818182
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,15613,False,close,12,False,0.25,0.4166666666666667
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,4784,False,close,11,False,0.36363636363636365,0.2727272727272727
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,6359,True,close,4,False,0.25,0.25
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,9457,True,close,6,True,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,10529,False,deep,11,False,0.0,0.36363636363636365
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,6575,False,deep,11,True,0.0,0.45454545454545453
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,3411,False,deep,12,False,0.16666666666666666,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,15245,False,deep,12,True,0.0,0.16666666666666666
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,10986,False,deep,12,False,0.0,0.5833333333333334
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,4368,True,deep,12,True,0.08333333333333333,0.4166666666666667
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,11263,True,close,2,False,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,16864,True,close,8,False,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,17361,True,deep,3,False,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,1551,True,deep,8,False,0.125,0.125
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,16096,False,deep,12,False,0.16666666666666666,0.16666666666666666
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,9650,True,deep,5,False,0.0,0.2
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,4313,True,deep,4,False,0.0,0.25
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,17047,False,close,12,True,0.0,0.5
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,11006,True,close,9,False,0.0,0.4444444444444444
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,9433,True,close,3,False,0.0,0.6666666666666666
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,15508,True,close,10,False,0.0,0.1
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,1261,True,close,9,False,0.1111111111111111,0.1111111111111111
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,11459,True,deep,7,False,0.0,0.0
meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,11921,True,close,3,False,0.0,0.0
