game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,False,1,,20,True,19,0,0,19,1.0,19,0,19,1.0,1,19,0.05263157894736842
16467,plant,conifer,deep,6,False,1,,20,True,14,5,0,19,0.7368421052631579,6,2,8,0.75,9,19,0.47368421052631576
11199,food,pie,close,4,False,2,,20,True,10,8,0,18,0.5555555555555556,7,6,13,0.5384615384615384,6,18,0.3333333333333333
16120,plant,woody_plant,close,3,False,1,,20,True,19,0,0,19,1.0,18,0,18,1.0,1,19,0.05263157894736842
1154,animal,aquatic_vertebrate,close,4,True,3,15,15,False,7,5,0,12,0.5833333333333334,4,4,8,0.5,5,12,0.4166666666666667
62,animal,vertebrate,close,3,False,1,,20,True,7,12,0,19,0.3684210526315789,7,12,19,0.3684210526315789,12,19,0.631578947368421
16152,plant,conifer,deep,6,False,1,,20,True,12,7,0,19,0.631578947368421,11,5,16,0.6875,6,19,0.3157894736842105
9624,body_part,sense_organ,close,3,False,1,,20,True,18,1,0,19,0.9473684210526315,18,1,19,0.9473684210526315,2,19,0.10526315789473684
4779,artifact,electrical_device,close,4,False,3,,20,True,14,3,0,17,0.8235294117647058,14,3,17,0.8235294117647058,4,17,0.23529411764705882
17775,plant,angiosperm,close,4,False,1,,20,True,18,1,0,19,0.9473684210526315,14,0,14,1.0,0,19,0.0
4032,body_part,internal_organ,close,3,False,1,,20,True,15,4,0,19,0.7894736842105263,5,3,8,0.625,14,19,0.7368421052631579
15613,plant,tree,close,4,False,0,,20,True,19,1,0,20,0.95,0,0,0,0,20,20,1.0
4784,artifact,electrical_device,close,4,False,3,,20,True,16,1,0,17,0.9411764705882353,6,0,6,1.0,0,17,0.0
6359,artifact,bag,close,4,False,0,,20,True,15,5,0,20,0.75,7,1,8,0.875,3,20,0.15
9457,body_part,muscle,close,4,False,8,,20,True,12,0,0,12,1.0,11,0,11,1.0,1,12,0.08333333333333333
10529,food,sugar,deep,6,False,1,,20,True,18,1,0,19,0.9473684210526315,8,0,8,1.0,7,19,0.3684210526315789
6575,artifact,ship,deep,7,False,1,,20,True,17,2,0,19,0.8947368421052632,12,2,14,0.8571428571428571,10,19,0.5263157894736842
3411,animal,New_World_warbler,deep,8,False,5,,20,True,11,4,0,15,0.7333333333333333,10,4,14,0.7142857142857143,4,15,0.26666666666666666
15245,plant,cycad,deep,5,False,4,,20,True,14,2,0,16,0.875,6,0,6,1.0,6,16,0.375
10986,food,ice_cream,deep,6,False,6,,20,True,10,4,0,14,0.7142857142857143,7,3,10,0.7,2,14,0.14285714285714285
4368,body_part,bone,deep,5,False,2,,20,True,14,4,0,18,0.7777777777777778,14,4,18,0.7777777777777778,6,18,0.3333333333333333
11263,food,pie,close,4,False,1,,20,True,17,2,0,19,0.8947368421052632,0,0,0,0,11,19,0.5789473684210527
16864,plant,tree,close,4,False,1,,20,True,19,0,0,19,1.0,2,0,2,1.0,0,19,0.0
17361,plant,magnolia,deep,6,False,3,,20,True,11,6,0,17,0.6470588235294118,11,6,17,0.6470588235294118,8,17,0.47058823529411764
1551,body_part,bone,deep,5,False,0,,20,True,20,0,0,20,1.0,20,0,20,1.0,0,20,0.0
16096,plant,conifer,deep,6,False,5,,20,True,11,4,0,15,0.7333333333333333,3,3,6,0.5,9,15,0.6
9650,body_part,mucous_membrane,deep,5,False,3,,20,True,15,2,0,17,0.8823529411764706,15,2,17,0.8823529411764706,0,17,0.0
4313,body_part,bone,deep,5,False,1,,20,True,17,2,0,19,0.8947368421052632,1,0,1,1.0,6,19,0.3157894736842105
17047,plant,woody_plant,close,3,False,5,,20,True,15,0,0,15,1.0,7,0,7,1.0,4,15,0.26666666666666666
11006,food,dessert,close,4,False,5,,20,True,14,1,0,15,0.9333333333333333,13,1,14,0.9285714285714286,1,15,0.06666666666666667
9433,body_part,muscle,close,4,False,0,,20,True,20,0,0,20,1.0,20,0,20,1.0,0,20,0.0
15508,plant,woody_plant,close,3,False,1,,20,True,19,0,0,19,1.0,2,0,2,1.0,15,19,0.7894736842105263
1261,animal,vertebrate,close,3,False,2,,20,True,18,0,0,18,1.0,2,0,2,1.0,0,18,0.0
11459,food,conserve,deep,6,False,3,,20,True,12,5,0,17,0.7058823529411765,12,5,17,0.7058823529411765,3,17,0.17647058823529413
11921,food,bread,close,4,True,1,13,13,False,8,4,0,12,0.6666666666666666,8,3,11,0.7272727272727273,3,12,0.25
15790,plant,fir,deep,7,False,7,,20,True,10,3,0,13,0.7692307692307693,9,3,12,0.75,3,13,0.23076923076923078
11384,food,cake,close,3,False,1,,20,True,15,4,0,19,0.7894736842105263,12,3,15,0.8,5,19,0.2631578947368421
6380,artifact,container,close,3,False,1,,20,True,19,0,0,19,1.0,18,0,18,1.0,0,19,0.0
6606,artifact,warship,deep,8,False,0,,20,True,18,2,0,20,0.9,18,2,20,0.9,4,20,0.2
11016,food,ice_cream,deep,6,False,4,,20,True,15,1,0,16,0.9375,15,1,16,0.9375,1,16,0.0625
1725,animal,shark,deep,8,False,3,,20,True,9,8,0,17,0.5294117647058824,7,7,14,0.5,7,17,0.4117647058823529
1066,animal,aquatic_vertebrate,close,4,False,2,,20,True,18,0,0,18,1.0,4,0,4,1.0,2,18,0.1111111111111111
6543,artifact,ship,deep,7,False,2,,20,True,15,3,0,18,0.8333333333333334,11,3,14,0.7857142857142857,3,18,0.16666666666666666
11697,food,beefsteak,deep,5,False,3,,20,True,16,1,0,17,0.9411764705882353,14,1,15,0.9333333333333333,2,17,0.11764705882352941
5807,artifact,cutting_implement,deep,5,False,3,,20,True,16,1,0,17,0.9411764705882353,9,0,9,1.0,5,17,0.29411764705882354
9949,body_part,artery,deep,6,False,1,,20,True,19,0,0,19,1.0,13,0,13,1.0,6,19,0.3157894736842105
17257,plant,woody_plant,close,3,False,2,,20,True,17,1,0,18,0.9444444444444444,12,1,13,0.9230769230769231,3,18,0.16666666666666666
1136,animal,bony_fish,deep,6,True,2,10,10,False,5,3,0,8,0.625,1,2,3,0.3333333333333333,2,8,0.25
12016,food,bread,close,4,False,3,,20,True,14,3,0,17,0.8235294117647058,11,2,13,0.8461538461538461,1,17,0.058823529411764705
10981,food,frozen_dessert,deep,5,False,2,,20,True,7,11,0,18,0.3888888888888889,3,9,12,0.25,8,18,0.4444444444444444
546,animal,aquatic_vertebrate,close,4,False,3,,20,True,11,6,0,17,0.6470588235294118,8,4,12,0.6666666666666666,5,17,0.29411764705882354
16249,plant,cedar,deep,7,False,1,,20,True,17,2,0,19,0.8947368421052632,17,2,19,0.8947368421052632,2,19,0.10526315789473684
6347,artifact,bag,close,4,False,0,,20,True,13,7,0,20,0.65,1,1,2,0.5,12,20,0.6
3947,animal,bird_of_prey,deep,5,False,0,,20,True,10,10,0,20,0.5,3,4,7,0.42857142857142855,10,20,0.5
357,animal,mammal,close,4,False,1,,20,True,16,3,0,19,0.8421052631578947,1,1,2,0.5,4,19,0.21052631578947367
5506,artifact,electronic_device,close,4,False,1,,20,True,17,2,0,19,0.8947368421052632,0,0,0,0,12,19,0.631578947368421
4288,body_part,bone,deep,5,False,1,,20,True,17,2,0,19,0.8947368421052632,6,0,6,1.0,10,19,0.5263157894736842
