model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
gpt-5.2-chat,9616,True,close,3,False,0.0,0.0
gpt-5.2-chat,16467,True,deep,3,False,0.0,0.0
gpt-5.2-chat,11199,True,close,6,True,0.0,0.16666666666666666
gpt-5.2-chat,16120,True,close,2,False,0.0,0.0
gpt-5.2-chat,1154,True,close,5,False,0.0,0.4
gpt-5.2-chat,62,True,close,3,False,0.0,0.0
gpt-5.2-chat,16152,True,deep,5,False,0.0,0.0
gpt-5.2-chat,9624,True,close,5,False,0.0,0.0
gpt-5.2-chat,4779,False,close,14,True,0.21428571428571427,0.21428571428571427
gpt-5.2-chat,17775,True,close,4,True,0.5,0.25
gpt-5.2-chat,4032,True,close,4,False,0.0,0.0
gpt-5.2-chat,15613,False,close,15,True,0.06666666666666667,0.4666666666666667
gpt-5.2-chat,4784,True,close,4,True,0.0,0.5
gpt-5.2-chat,6359,False,close,14,True,0.2857142857142857,0.35714285714285715
gpt-5.2-chat,9457,True,close,4,False,0.0,0.0
gpt-5.2-chat,10529,True,deep,3,False,0.0,0.0
gpt-5.2-chat,6575,False,deep,16,True,0.0,0.3125
gpt-5.2-chat,3411,True,deep,3,False,0.0,0.0
gpt-5.2-chat,15245,True,deep,3,False,0.0,0.0
gpt-5.2-chat,10986,True,deep,5,True,0.0,0.4
gpt-5.2-chat,4368,True,deep,6,True,0.0,0.16666666666666666
gpt-5.2-chat,11263,True,close,3,False,0.0,0.6666666666666666
gpt-5.2-chat,16864,True,close,3,False,0.0,0.0
gpt-5.2-chat,17361,True,deep,3,False,0.0,0.0
gpt-5.2-chat,1551,True,deep,3,False,0.0,0.0
gpt-5.2-chat,16096,True,deep,3,False,0.0,0.0
gpt-5.2-chat,9650,True,deep,3,True,0.0,0.3333333333333333
gpt-5.2-chat,4313,True,deep,3,False,0.0,0.0
gpt-5.2-chat,17047,True,close,2,False,0.0,0.0
gpt-5.2-chat,11006,False,close,16,True,0.0,0.5625
gpt-5.2-chat,9433,True,close,4,False,0.0,0.0
gpt-5.2-chat,15508,True,close,4,True,0.0,0.25
gpt-5.2-chat,1261,True,close,4,True,0.25,0.25
gpt-5.2-chat,11459,False,deep,14,True,0.07142857142857142,0.2857142857142857
gpt-5.2-chat,11921,False,close,17,False,0.0,0.11764705882352941
gpt-5.2-chat,15790,False,deep,16,True,0.0,0.3125
gpt-5.2-chat,11384,True,close,7,True,0.0,0.2857142857142857
gpt-5.2-chat,6380,False,close,15,True,0.2,0.7333333333333333
gpt-5.2-chat,6606,True,deep,13,False,0.0,0.3076923076923077
gpt-5.2-chat,11016,True,deep,5,True,0.0,0.2
gpt-5.2-chat,1725,True,deep,4,False,0.0,0.0
gpt-5.2-chat,1066,True,close,2,False,0.0,0.0
gpt-5.2-chat,6543,False,deep,14,True,0.14285714285714285,0.5
gpt-5.2-chat,11697,False,deep,16,True,0.0,0.5
gpt-5.2-chat,5807,False,deep,15,True,0.06666666666666667,0.6666666666666666
gpt-5.2-chat,9949,False,deep,13,True,0.07692307692307693,0.38461538461538464
gpt-5.2-chat,17257,True,close,3,True,0.0,0.0
