model,game_id,turn_number,guess,target_property,judgment
MiniMaxAI_MiniMax-M2.5,62,16,Animals,animal,yes
MiniMaxAI_MiniMax-M2.5,357,5,animal,animal,yes
MiniMaxAI_MiniMax-M2.5,546,18,animal,animal,yes
MiniMaxAI_MiniMax-M2.5,658,10,seafood commonly used in Japanese cuisine,animal,no
MiniMaxAI_MiniMax-M2.5,819,15,animal names,animal,no
MiniMaxAI_MiniMax-M2.5,1066,13,wild animal,animal,no
MiniMaxAI_MiniMax-M2.5,1136,10,animal,animal,yes
MiniMaxAI_MiniMax-M2.5,1154,7,animals,animal,yes
MiniMaxAI_MiniMax-M2.5,1261,8,animal,animal,yes
MiniMaxAI_MiniMax-M2.5,1551,9,anatomical terms,body_part,no
MiniMaxAI_MiniMax-M2.5,1725,16,visible animals,animal,no
MiniMaxAI_MiniMax-M2.5,1943,15,Shark,animal,no
MiniMaxAI_MiniMax-M2.5,2806,7,animal,animal,yes
MiniMaxAI_MiniMax-M2.5,2971,10,animals,animal,yes
MiniMaxAI_MiniMax-M2.5,3172,17,living things that are animals,animal,yes
MiniMaxAI_MiniMax-M2.5,3192,7,is an animal,animal,yes
MiniMaxAI_MiniMax-M2.5,3411,9,is an animal,animal,yes
MiniMaxAI_MiniMax-M2.5,3743,6,animal,animal,yes
MiniMaxAI_MiniMax-M2.5,3947,6,bird,animal,no
MiniMaxAI_MiniMax-M2.5,3966,8,is an animal,animal,yes
MiniMaxAI_MiniMax-M2.5,4020,7,animal body parts,body_part,yes
MiniMaxAI_MiniMax-M2.5,4032,12,respiratory organs in animals,body_part,no
MiniMaxAI_MiniMax-M2.5,4288,20,solid internal body parts,body_part,no
MiniMaxAI_MiniMax-M2.5,4313,5,bone,body_part,no
MiniMaxAI_MiniMax-M2.5,4348,6,body parts,body_part,yes
MiniMaxAI_MiniMax-M2.5,4368,11,animal body parts,body_part,yes
MiniMaxAI_MiniMax-M2.5,4450,5,body parts,body_part,yes
MiniMaxAI_MiniMax-M2.5,4458,7,body parts,body_part,yes
MiniMaxAI_MiniMax-M2.5,4465,6,body parts,body_part,yes
MiniMaxAI_MiniMax-M2.5,4779,18,man-made object,artifact,yes
MiniMaxAI_MiniMax-M2.5,5184,14,man-made objects,artifact,yes
MiniMaxAI_MiniMax-M2.5,5224,6,measuring instruments,artifact,no
MiniMaxAI_MiniMax-M2.5,5265,16,man-made objects,artifact,yes
MiniMaxAI_MiniMax-M2.5,5506,20,technology terms,artifact,no
MiniMaxAI_MiniMax-M2.5,5516,7,electrical or electronic devices,artifact,no
MiniMaxAI_MiniMax-M2.5,5652,5,man-made objects,artifact,yes
MiniMaxAI_MiniMax-M2.5,5653,17,man-made objects,artifact,yes
MiniMaxAI_MiniMax-M2.5,5757,10,Tools,artifact,no
MiniMaxAI_MiniMax-M2.5,6359,20,containers,artifact,no
MiniMaxAI_MiniMax-M2.5,6380,9,container,artifact,no
MiniMaxAI_MiniMax-M2.5,6396,9,man-made,artifact,yes
MiniMaxAI_MiniMax-M2.5,6543,12,Vehicle types ending in ship or craft,artifact,no
MiniMaxAI_MiniMax-M2.5,6575,20,man-made objects,artifact,yes
MiniMaxAI_MiniMax-M2.5,6606,15,warship,artifact,no
MiniMaxAI_MiniMax-M2.5,6607,13,"words ending with ""ship""",artifact,no
MiniMaxAI_MiniMax-M2.5,9334,16,Anatomical body parts,body_part,yes
MiniMaxAI_MiniMax-M2.5,9433,12,parts of the human body,body_part,yes
MiniMaxAI_MiniMax-M2.5,9457,12,Anatomical terms that do NOT contain the English word 'muscle' in their name,body_part,no
MiniMaxAI_MiniMax-M2.5,9596,8,anatomy,body_part,no
MiniMaxAI_MiniMax-M2.5,9616,13,sensory receptors,body_part,no
MiniMaxAI_MiniMax-M2.5,9650,11,mucous membrane,body_part,no
MiniMaxAI_MiniMax-M2.5,9670,16,Named anatomical structures in the human body,body_part,yes
MiniMaxAI_MiniMax-M2.5,9949,12,Anatomy,body_part,no
MiniMaxAI_MiniMax-M2.5,10074,9,Specific named anatomical structures,body_part,yes
MiniMaxAI_MiniMax-M2.5,10237,13,French culinary terms,food,no
MiniMaxAI_MiniMax-M2.5,10529,16,food items containing calories or sugar,food,no
MiniMaxAI_MiniMax-M2.5,10838,10,food,food,yes
MiniMaxAI_MiniMax-M2.5,10981,12,food,food,yes
MiniMaxAI_MiniMax-M2.5,10986,10,words that can also be used as color names,food,no
MiniMaxAI_MiniMax-M2.5,10994,11,desserts,food,no
MiniMaxAI_MiniMax-M2.5,11006,7,desserts,food,no
MiniMaxAI_MiniMax-M2.5,11016,17,frozen,food,no
MiniMaxAI_MiniMax-M2.5,11059,16,British and American baked/cooked desserts,food,no
MiniMaxAI_MiniMax-M2.5,11199,17,food,food,yes
MiniMaxAI_MiniMax-M2.5,11263,15,foods containing the letter A,food,no
MiniMaxAI_MiniMax-M2.5,11376,18,foods that are not beverages,food,no
MiniMaxAI_MiniMax-M2.5,11384,19,sweets,food,no
MiniMaxAI_MiniMax-M2.5,11459,7,spreads or condiments,food,no
MiniMaxAI_MiniMax-M2.5,11697,12,main dish,food,no
MiniMaxAI_MiniMax-M2.5,11921,11,edible,food,yes
MiniMaxAI_MiniMax-M2.5,12095,11,food,food,yes
MiniMaxAI_MiniMax-M2.5,15245,9,plants,plant,yes
MiniMaxAI_MiniMax-M2.5,15310,18,tropical plants,plant,no
MiniMaxAI_MiniMax-M2.5,15508,19,plants with color words in their names,plant,no
MiniMaxAI_MiniMax-M2.5,15598,7,tree,plant,no
MiniMaxAI_MiniMax-M2.5,15611,18,tree,plant,no
MiniMaxAI_MiniMax-M2.5,15613,16,Fruit,plant,no
MiniMaxAI_MiniMax-M2.5,15790,17,Christmas plants,plant,no
MiniMaxAI_MiniMax-M2.5,16096,14,plants,plant,yes
MiniMaxAI_MiniMax-M2.5,16120,19,plants whose common name contains a color term or geographic modifier,plant,no
MiniMaxAI_MiniMax-M2.5,16152,18,seed plants,plant,no
MiniMaxAI_MiniMax-M2.5,16249,8,plants,plant,yes
MiniMaxAI_MiniMax-M2.5,16414,6,is a plant,plant,yes
MiniMaxAI_MiniMax-M2.5,16467,10,plant,plant,yes
MiniMaxAI_MiniMax-M2.5,16469,19,plant,plant,yes
MiniMaxAI_MiniMax-M2.5,16864,12,plant,plant,yes
MiniMaxAI_MiniMax-M2.5,17047,5,plant,plant,yes
MiniMaxAI_MiniMax-M2.5,17248,8,plants,plant,yes
MiniMaxAI_MiniMax-M2.5,17257,15,wild plants,plant,no
MiniMaxAI_MiniMax-M2.5,17361,16,seed-producing organisms,plant,no
MiniMaxAI_MiniMax-M2.5,17775,16,plant,plant,yes
Qwen_Qwen3.5-9B,62,4,animals,animal,yes
Qwen_Qwen3.5-9B,357,5,animals,animal,yes
Qwen_Qwen3.5-9B,546,8,animal,animal,yes
Qwen_Qwen3.5-9B,658,9,animals,animal,yes
Qwen_Qwen3.5-9B,819,20,fish and shellfish,animal,no
Qwen_Qwen3.5-9B,1066,7,animals,animal,yes
Qwen_Qwen3.5-9B,1154,5,vertebrates,animal,no
Qwen_Qwen3.5-9B,1261,12,real animal species,animal,yes
Qwen_Qwen3.5-9B,1551,19,"Specific, formally named human anatomical structures (excluding body regions, categories, or descriptive adjectives)",body_part,no
Qwen_Qwen3.5-9B,1725,16,animals,animal,yes
Qwen_Qwen3.5-9B,1943,19,is an animal that has a complex nervous system (brain),animal,no
Qwen_Qwen3.5-9B,2806,5,animal,animal,yes
Qwen_Qwen3.5-9B,2971,9,animal,animal,yes
Qwen_Qwen3.5-9B,3172,17,vertebrates,animal,no
Qwen_Qwen3.5-9B,3411,9,species of birds,animal,no
Qwen_Qwen3.5-9B,3743,9,animal,animal,yes
Qwen_Qwen3.5-9B,3852,6,animals,animal,yes
Qwen_Qwen3.5-9B,3947,2,raptor species,animal,no
Qwen_Qwen3.5-9B,3966,9,animal,animal,yes
Qwen_Qwen3.5-9B,4020,7,animal organs,body_part,no
Qwen_Qwen3.5-9B,4032,3,respiratory structures in animals,body_part,no
Qwen_Qwen3.5-9B,4288,6,anatomical structures of the human body,body_part,yes
Qwen_Qwen3.5-9B,4313,13,standard anatomical biological terminology,body_part,no
Qwen_Qwen3.5-9B,4348,15,formal anatomical terms,body_part,no
Qwen_Qwen3.5-9B,4368,11,Properly named anatomical structures,body_part,no
Qwen_Qwen3.5-9B,4450,6,body parts,body_part,yes
Qwen_Qwen3.5-9B,4458,9,anatomical structures of the head or face,body_part,no
Qwen_Qwen3.5-9B,4465,19,parts of the human body,body_part,yes
Qwen_Qwen3.5-9B,4779,12,electromagnetic components that create magnetic field with single coil for actuation or switching,artifact,no
Qwen_Qwen3.5-9B,4784,9,Items with electrodes,artifact,no
Qwen_Qwen3.5-9B,5184,15,"Scientific instruments designed to measure specific physical quantities (e.g., pressure, temperature, time, dimensions) through mechanical, optical, or thermal means",artifact,no
Qwen_Qwen3.5-9B,5224,8,measuring instruments,artifact,no
Qwen_Qwen3.5-9B,5516,10,periodic oscillating devices,artifact,no
Qwen_Qwen3.5-9B,5653,20,musical instruments played with breath or air pressure,artifact,no
Qwen_Qwen3.5-9B,5757,12,hand tools with a single straight edge used for precise linear material shaping or cutting,artifact,no
Qwen_Qwen3.5-9B,5807,8,"Two-word compound names containing a playing card rank (e.g., Jack, Queen, King, Ace)",artifact,no
Qwen_Qwen3.5-9B,6347,5,open-top containers,artifact,no
Qwen_Qwen3.5-9B,6359,9,compound words describing specialized bags used for specific purposes or contents,artifact,no
Qwen_Qwen3.5-9B,6396,18,established compound nouns for household storage items in British English,artifact,no
Qwen_Qwen3.5-9B,6606,19,naval warship types,artifact,no
Qwen_Qwen3.5-9B,6607,20,cartoon game ship types,artifact,no
Qwen_Qwen3.5-9B,9334,13,anatomical directional or positional adjectives terminology,body_part,no
Qwen_Qwen3.5-9B,9433,12,terms listed in the official Anatomical Terminology (Terminologia Anatomica),body_part,no
Qwen_Qwen3.5-9B,9457,18,discrete anatomical structures,body_part,no
Qwen_Qwen3.5-9B,9596,11,Scientific anatomical structure names,body_part,no
