game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,True,1,6,6,False,0,5,0,5,0.0,0,5,5,0.0,5,5,1.0
16467,plant,conifer,deep,6,False,3,,20,True,5,12,0,17,0.29411764705882354,5,10,15,0.3333333333333333,5,17,0.29411764705882354
11199,food,pie,close,4,True,2,9,9,False,3,4,0,7,0.42857142857142855,1,4,5,0.2,4,7,0.5714285714285714
16120,plant,woody_plant,close,3,False,2,,20,True,7,11,0,18,0.3888888888888889,4,7,11,0.36363636363636365,6,18,0.3333333333333333
1154,animal,aquatic_vertebrate,close,4,True,1,5,5,False,0,4,0,4,0.0,0,3,3,0.0,3,4,0.75
62,animal,vertebrate,close,3,True,2,10,10,False,2,6,0,8,0.25,2,3,5,0.4,3,8,0.375
16152,plant,conifer,deep,6,True,1,6,6,False,1,4,0,5,0.2,1,3,4,0.25,3,5,0.6
9624,body_part,sense_organ,close,3,False,2,,20,True,4,14,0,18,0.2222222222222222,4,12,16,0.25,7,18,0.3888888888888889
4779,artifact,electrical_device,close,4,False,1,,20,True,4,15,0,19,0.21052631578947367,1,8,9,0.1111111111111111,6,19,0.3157894736842105
17775,plant,angiosperm,close,4,False,2,,20,True,5,13,0,18,0.2777777777777778,2,11,13,0.15384615384615385,5,18,0.2777777777777778
4032,body_part,internal_organ,close,3,False,2,,20,True,5,13,0,18,0.2777777777777778,4,9,13,0.3076923076923077,8,18,0.4444444444444444
15613,plant,tree,close,4,False,2,,20,True,13,5,0,18,0.7222222222222222,4,1,5,0.8,6,18,0.3333333333333333
4784,artifact,electrical_device,close,4,True,1,9,9,False,2,6,0,8,0.25,0,4,4,0.0,6,8,0.75
6359,artifact,bag,close,4,False,2,,20,True,7,11,0,18,0.3888888888888889,5,5,10,0.5,7,18,0.3888888888888889
9457,body_part,muscle,close,4,True,1,6,6,False,2,3,0,5,0.4,2,2,4,0.5,1,5,0.2
10529,food,sugar,deep,6,False,1,,20,True,4,15,0,19,0.21052631578947367,4,11,15,0.26666666666666666,5,19,0.2631578947368421
6575,artifact,ship,deep,7,False,2,,20,True,4,14,0,18,0.2222222222222222,2,13,15,0.13333333333333333,7,18,0.3888888888888889
3411,animal,New_World_warbler,deep,8,False,2,,20,True,5,13,0,18,0.2777777777777778,4,12,16,0.25,8,18,0.4444444444444444
15245,plant,cycad,deep,5,False,3,,20,True,9,8,0,17,0.5294117647058824,4,5,9,0.4444444444444444,7,17,0.4117647058823529
10986,food,ice_cream,deep,6,True,1,4,4,False,0,3,0,3,0.0,0,2,2,0.0,2,3,0.6666666666666666
4368,body_part,bone,deep,5,True,1,5,5,False,1,3,0,4,0.25,1,2,3,0.3333333333333333,2,4,0.5
11263,food,pie,close,4,True,1,3,3,False,0,2,0,2,0.0,0,2,2,0.0,2,2,1.0
16864,plant,tree,close,4,False,2,,20,True,4,14,0,18,0.2222222222222222,2,9,11,0.18181818181818182,9,18,0.5
17361,plant,magnolia,deep,6,True,2,16,16,False,3,11,0,14,0.21428571428571427,3,10,13,0.23076923076923078,7,14,0.5
1551,body_part,bone,deep,5,True,1,5,5,False,2,2,0,4,0.5,1,1,2,0.5,1,4,0.25
16096,plant,conifer,deep,6,True,2,9,9,False,1,6,0,7,0.14285714285714285,0,2,2,0.0,2,7,0.2857142857142857
9650,body_part,mucous_membrane,deep,5,False,1,,20,True,8,11,0,19,0.42105263157894735,6,6,12,0.5,6,19,0.3157894736842105
4313,body_part,bone,deep,5,True,2,17,17,False,6,9,0,15,0.4,3,6,9,0.3333333333333333,5,15,0.3333333333333333
