game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,False,1,,20,True,10,9,0,19,0.5263157894736842,8,6,14,0.5714285714285714,6,19,0.3157894736842105
16467,plant,conifer,deep,6,True,2,12,12,False,6,4,0,10,0.6,2,2,4,0.5,4,10,0.4
11199,food,pie,close,4,False,0,,20,True,6,14,0,20,0.3,2,12,14,0.14285714285714285,14,20,0.7
16120,plant,woody_plant,close,3,True,2,11,11,False,2,7,0,9,0.2222222222222222,1,5,6,0.16666666666666666,6,9,0.6666666666666666
1154,animal,aquatic_vertebrate,close,4,True,1,7,7,False,1,5,0,6,0.16666666666666666,0,3,3,0.0,5,6,0.8333333333333334
62,animal,vertebrate,close,3,True,1,5,5,False,1,3,0,4,0.25,1,2,3,0.3333333333333333,2,4,0.5
16152,plant,conifer,deep,6,False,1,,20,True,13,6,0,19,0.6842105263157895,10,4,14,0.7142857142857143,9,19,0.47368421052631576
9624,body_part,sense_organ,close,3,False,1,,20,True,11,8,0,19,0.5789473684210527,8,5,13,0.6153846153846154,7,19,0.3684210526315789
4779,artifact,electrical_device,close,4,True,1,11,11,False,3,7,0,10,0.3,0,5,5,0.0,4,10,0.4
17775,plant,angiosperm,close,4,True,1,6,6,False,1,4,0,5,0.2,1,1,2,0.5,2,5,0.4
4032,body_part,internal_organ,close,3,False,1,,20,True,10,7,2,19,0.5882352941176471,8,6,14,0.5714285714285714,5,17,0.29411764705882354
15613,plant,tree,close,4,True,1,11,11,False,3,7,0,10,0.3,0,1,1,0.0,2,10,0.2
4784,artifact,electrical_device,close,4,True,1,14,14,False,2,7,4,13,0.2222222222222222,1,3,4,0.25,3,9,0.3333333333333333
6359,artifact,bag,close,4,False,1,,20,True,14,5,0,19,0.7368421052631579,0,0,0,0,10,19,0.5263157894736842
9457,body_part,muscle,close,4,False,1,,20,True,7,12,0,19,0.3684210526315789,6,8,14,0.42857142857142855,7,19,0.3684210526315789
10529,food,sugar,deep,6,False,1,,20,True,12,7,0,19,0.631578947368421,10,2,12,0.8333333333333334,7,18,0.3888888888888889
6575,artifact,ship,deep,7,False,1,,20,True,11,8,0,19,0.5789473684210527,5,7,12,0.4166666666666667,9,19,0.47368421052631576
3411,animal,New_World_warbler,deep,8,True,1,7,7,False,1,5,0,6,0.16666666666666666,0,3,3,0.0,3,6,0.5
15245,plant,cycad,deep,5,True,2,10,10,False,3,5,0,8,0.375,3,4,7,0.42857142857142855,2,8,0.25
10986,food,ice_cream,deep,6,False,3,,20,True,8,8,1,17,0.5,7,6,13,0.5384615384615384,6,15,0.4
4368,body_part,bone,deep,5,True,1,8,8,False,4,3,0,7,0.5714285714285714,3,2,5,0.6,1,7,0.14285714285714285
11263,food,pie,close,4,True,1,6,6,False,2,3,0,5,0.4,0,0,0,0,1,5,0.2
16864,plant,tree,close,4,True,1,8,8,False,3,4,0,7,0.42857142857142855,1,2,3,0.3333333333333333,2,6,0.3333333333333333
17361,plant,magnolia,deep,6,True,1,10,10,False,2,7,0,9,0.2222222222222222,0,6,6,0.0,7,9,0.7777777777777778
1551,body_part,bone,deep,5,False,1,,20,True,5,12,2,19,0.29411764705882354,4,8,12,0.3333333333333333,5,17,0.29411764705882354
16096,plant,conifer,deep,6,True,1,7,7,False,2,4,0,6,0.3333333333333333,1,2,3,0.3333333333333333,1,4,0.25
9650,body_part,mucous_membrane,deep,5,False,0,,20,True,10,10,0,20,0.5,8,8,16,0.5,9,19,0.47368421052631576
4313,body_part,bone,deep,5,False,0,,20,True,10,10,0,20,0.5,7,7,14,0.5,4,20,0.2
17047,plant,woody_plant,close,3,True,2,19,19,False,10,7,0,17,0.5882352941176471,7,4,11,0.6363636363636364,4,17,0.23529411764705882
11006,food,dessert,close,4,True,1,9,9,False,2,6,0,8,0.25,1,4,5,0.2,4,8,0.5
9433,body_part,muscle,close,4,True,1,19,19,False,7,11,0,18,0.3888888888888889,6,7,13,0.46153846153846156,8,16,0.5
15508,plant,woody_plant,close,3,False,1,,20,True,12,7,0,19,0.631578947368421,8,6,14,0.5714285714285714,6,19,0.3157894736842105
1261,animal,vertebrate,close,3,True,1,19,19,False,11,7,0,18,0.6111111111111112,1,3,4,0.25,7,18,0.3888888888888889
11459,food,conserve,deep,6,False,1,,20,True,10,9,0,19,0.5263157894736842,7,7,14,0.5,8,19,0.42105263157894735
11921,food,bread,close,4,True,1,15,15,False,8,6,0,14,0.5714285714285714,4,3,7,0.5714285714285714,5,14,0.35714285714285715
15790,plant,fir,deep,7,False,1,,20,True,8,11,0,19,0.42105263157894735,7,7,14,0.5,6,18,0.3333333333333333
11384,food,cake,close,3,False,0,,20,True,9,11,0,20,0.45,8,8,16,0.5,9,20,0.45
6380,artifact,container,close,3,False,1,,20,True,14,5,0,19,0.7368421052631579,6,0,6,1.0,10,19,0.5263157894736842
6606,artifact,warship,deep,8,False,0,,20,True,10,10,0,20,0.5,4,7,11,0.36363636363636365,8,20,0.4
11016,food,ice_cream,deep,6,True,1,13,13,False,5,7,0,12,0.4166666666666667,4,6,10,0.4,5,12,0.4166666666666667
1725,animal,shark,deep,8,True,1,9,9,False,1,7,0,8,0.125,0,4,4,0.0,4,8,0.5
1066,animal,aquatic_vertebrate,close,4,True,1,10,10,False,4,5,0,9,0.4444444444444444,2,3,5,0.4,3,9,0.3333333333333333
6543,artifact,ship,deep,7,False,1,,20,True,9,10,0,19,0.47368421052631576,5,8,13,0.38461538461538464,10,19,0.5263157894736842
11697,food,beefsteak,deep,5,True,1,6,6,False,0,5,0,5,0.0,0,4,4,0.0,4,5,0.8
5807,artifact,cutting_implement,deep,5,False,0,,20,True,11,9,0,20,0.55,6,6,12,0.5,12,20,0.6
9949,body_part,artery,deep,6,True,2,6,6,False,2,2,0,4,0.5,1,1,2,0.5,2,4,0.5
17257,plant,woody_plant,close,3,True,1,7,7,False,1,5,0,6,0.16666666666666666,1,2,3,0.3333333333333333,2,6,0.3333333333333333
1136,animal,bony_fish,deep,6,True,1,7,7,False,1,5,0,6,0.16666666666666666,0,3,3,0.0,4,6,0.6666666666666666
12016,food,bread,close,4,False,0,,20,True,12,8,0,20,0.6,9,4,13,0.6923076923076923,5,20,0.25
10981,food,frozen_dessert,deep,5,True,1,14,14,False,5,8,0,13,0.38461538461538464,3,5,8,0.375,6,13,0.46153846153846156
546,animal,aquatic_vertebrate,close,4,True,1,10,10,False,2,7,0,9,0.2222222222222222,2,4,6,0.3333333333333333,5,9,0.5555555555555556
16249,plant,cedar,deep,7,True,1,10,10,False,1,8,0,9,0.1111111111111111,0,4,4,0.0,5,9,0.5555555555555556
6347,artifact,bag,close,4,False,1,,20,True,12,7,0,19,0.631578947368421,8,4,12,0.6666666666666666,6,19,0.3157894736842105
3947,animal,bird_of_prey,deep,5,True,1,5,5,False,1,3,0,4,0.25,1,2,3,0.3333333333333333,3,4,0.75
357,animal,mammal,close,4,True,1,7,7,False,1,5,0,6,0.16666666666666666,0,2,2,0.0,3,6,0.5
5506,artifact,electronic_device,close,4,False,1,,20,True,11,8,0,19,0.5789473684210527,0,0,0,0,7,18,0.3888888888888889
4288,body_part,bone,deep,5,False,1,,20,True,14,5,0,19,0.7368421052631579,10,3,13,0.7692307692307693,2,18,0.1111111111111111
4458,body_part,nose,deep,5,True,1,5,5,False,1,3,0,4,0.25,0,2,2,0.0,2,4,0.5
9334,body_part,muscle,close,4,True,1,10,10,False,4,5,0,9,0.4444444444444444,4,3,7,0.5714285714285714,2,9,0.2222222222222222
819,animal,bony_fish,deep,6,True,1,12,12,False,6,5,0,11,0.5454545454545454,2,3,5,0.4,2,11,0.18181818181818182
3172,animal,vertebrate,close,3,False,1,,20,True,15,4,0,19,0.7894736842105263,14,2,16,0.875,6,19,0.3157894736842105
3852,animal,hawk,deep,6,False,0,,20,True,9,11,0,20,0.45,8,9,17,0.47058823529411764,13,20,0.65
3966,animal,Old_World_vulture,deep,7,True,1,7,7,False,1,5,0,6,0.16666666666666666,0,3,3,0.0,3,6,0.5
17248,plant,fruit_tree,deep,6,False,0,,1,False,0,1,0,1,0.0,0,1,1,0.0,1,1,1.0
15310,plant,tree,close,4,True,2,17,17,False,7,8,0,15,0.4666666666666667,3,3,6,0.5,4,15,0.26666666666666666
10994,food,dessert,close,4,False,0,,20,True,10,10,0,20,0.5,4,7,11,0.36363636363636365,10,20,0.5
2971,animal,New_World_flycatcher,deep,7,False,1,,20,True,9,10,0,19,0.47368421052631576,6,8,14,0.42857142857142855,6,19,0.3157894736842105
10237,food,condiment,deep,5,True,1,19,19,False,4,14,0,18,0.2222222222222222,3,9,12,0.25,11,18,0.6111111111111112
12095,food,flatbread,deep,5,False,0,,20,True,7,13,0,20,0.35,5,11,16,0.3125,12,20,0.6
5224,artifact,measuring_instrument,deep,5,False,0,,20,True,16,4,0,20,0.8,1,1,2,0.5,11,20,0.55
658,animal,aquatic_vertebrate,close,4,False,0,,20,True,16,4,0,20,0.8,12,3,15,0.8,7,20,0.35
1943,animal,shark,deep,8,True,1,10,10,False,2,7,0,9,0.2222222222222222,2,5,7,0.2857142857142857,4,9,0.4444444444444444
16414,plant,woody_plant,close,3,False,1,,20,True,10,9,0,19,0.5263157894736842,5,6,11,0.45454545454545453,9,19,0.47368421052631576
4348,body_part,bone,deep,5,True,1,19,19,False,8,10,0,18,0.4444444444444444,5,6,11,0.45454545454545453,11,18,0.6111111111111112
10838,food,dessert,close,4,False,0,,20,True,5,14,1,20,0.2631578947368421,1,8,9,0.1111111111111111,8,19,0.42105263157894735
9596,body_part,sense_organ,close,3,False,0,,20,True,6,14,0,20,0.3,6,13,19,0.3157894736842105,5,20,0.25
3743,animal,bird_of_prey,deep,5,True,1,7,7,False,2,4,0,6,0.3333333333333333,1,3,4,0.25,4,6,0.6666666666666666
4875,artifact,painting,deep,5,False,1,,20,True,14,5,0,19,0.7368421052631579,2,0,2,1.0,7,19,0.3684210526315789
11376,food,cake,close,3,True,1,9,9,False,3,4,1,8,0.42857142857142855,0,1,1,0.0,2,7,0.2857142857142857
5516,artifact,electronic_device,close,4,True,1,20,20,False,13,6,0,19,0.6842105263157895,4,1,5,0.8,6,19,0.3157894736842105
15598,plant,larch,deep,7,False,0,,20,True,10,10,0,20,0.5,10,6,16,0.625,10,20,0.5
11059,food,pudding,deep,5,True,1,8,8,False,2,5,0,7,0.2857142857142857,0,3,3,0.0,3,7,0.42857142857142855
2806,animal,vertebrate,close,3,True,1,15,15,False,5,9,0,14,0.35714285714285715,4,7,11,0.36363636363636365,9,14,0.6428571428571429
6607,artifact,ship,deep,7,False,0,,20,True,10,10,0,20,0.5,7,8,15,0.4666666666666667,9,20,0.45
3192,animal,bird,close,4,True,1,8,8,False,2,4,1,7,0.3333333333333333,1,2,3,0.3333333333333333,2,6,0.3333333333333333
16469,plant,tree,close,4,True,1,9,9,False,1,7,0,8,0.125,0,4,4,0.0,3,8,0.375
5184,artifact,measuring_instrument,deep,5,False,1,,20,True,8,11,0,19,0.42105263157894735,5,5,10,0.5,8,19,0.42105263157894735
5652,artifact,stringed_instrument,deep,5,False,0,,20,True,4,16,0,20,0.2,4,16,20,0.2,10,20,0.5
4465,body_part,sense_organ,close,3,False,0,,20,True,12,8,0,20,0.6,3,3,6,0.5,5,20,0.25
5757,artifact,cutter,deep,6,True,1,8,8,False,4,3,0,7,0.5714285714285714,1,2,3,0.3333333333333333,4,7,0.5714285714285714
10074,body_part,blood_vessel,deep,5,False,2,,20,True,10,8,0,18,0.5555555555555556,9,6,15,0.6,4,18,0.2222222222222222
5265,artifact,musical_instrument,close,4,True,1,9,9,False,4,4,0,8,0.5,0,1,1,0.0,3,8,0.375
4450,body_part,sense_organ,close,3,True,1,6,6,False,2,3,0,5,0.4,1,3,4,0.25,3,5,0.6
5653,artifact,musical_instrument,close,4,False,0,,20,True,9,11,0,20,0.45,4,2,6,0.6666666666666666,10,20,0.5
6396,artifact,container,close,3,False,1,,20,True,14,5,0,19,0.7368421052631579,6,3,9,0.6666666666666666,8,19,0.42105263157894735
4020,body_part,internal_organ,close,3,False,1,,20,True,16,3,0,19,0.8421052631578947,11,3,14,0.7857142857142857,6,19,0.3157894736842105
10858,food,dessert,close,4,True,1,7,7,False,2,4,0,6,0.3333333333333333,1,3,4,0.25,4,6,0.6666666666666666
15611,plant,conifer,deep,6,True,1,6,6,False,1,4,0,5,0.2,1,4,5,0.2,3,4,0.75
12377,food,sweet_roll,deep,6,True,1,12,12,False,5,6,0,11,0.45454545454545453,3,3,6,0.5,4,11,0.36363636363636365
9670,body_part,ocular_muscle,deep,5,True,1,19,19,False,6,12,0,18,0.3333333333333333,4,9,13,0.3076923076923077,6,18,0.3333333333333333
