game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,False,4,,20,True,6,10,0,16,0.375,6,10,16,0.375,9,16,0.5625
16467,plant,conifer,deep,6,True,7,18,18,False,5,6,0,11,0.45454545454545453,5,6,11,0.45454545454545453,6,11,0.5454545454545454
11199,food,pie,close,4,False,2,,20,True,7,11,0,18,0.3888888888888889,5,9,14,0.35714285714285715,9,18,0.5
16120,plant,woody_plant,close,3,False,4,,20,True,10,6,0,16,0.625,6,5,11,0.5454545454545454,5,16,0.3125
1154,animal,aquatic_vertebrate,close,4,False,5,,20,True,7,8,0,15,0.4666666666666667,2,4,6,0.3333333333333333,6,15,0.4
62,animal,vertebrate,close,3,True,2,8,8,False,5,1,0,6,0.8333333333333334,1,0,1,1.0,3,6,0.5
16152,plant,conifer,deep,6,True,2,7,7,False,1,4,0,5,0.2,0,4,4,0.0,5,5,1.0
9624,body_part,sense_organ,close,3,True,4,10,10,False,4,2,0,6,0.6666666666666666,3,2,5,0.6,3,6,0.5
4779,artifact,electrical_device,close,4,False,5,,20,True,4,11,0,15,0.26666666666666666,4,7,11,0.36363636363636365,5,15,0.3333333333333333
17775,plant,angiosperm,close,4,False,4,,20,True,12,4,0,16,0.75,11,3,14,0.7857142857142857,5,16,0.3125
4032,body_part,internal_organ,close,3,True,1,6,6,False,2,3,0,5,0.4,1,2,3,0.3333333333333333,1,5,0.2
15613,plant,tree,close,4,False,5,,20,True,14,1,0,15,0.9333333333333333,1,0,1,1.0,11,15,0.7333333333333333
4784,artifact,electrical_device,close,4,False,5,,20,True,8,7,0,15,0.5333333333333333,3,2,5,0.6,6,15,0.4
6359,artifact,bag,close,4,False,2,,20,True,3,15,0,18,0.16666666666666666,2,8,10,0.2,13,18,0.7222222222222222
9457,body_part,muscle,close,4,True,1,6,6,False,4,1,0,5,0.8,4,1,5,0.8,2,5,0.4
10529,food,sugar,deep,6,True,1,6,6,False,2,3,0,5,0.4,2,2,4,0.5,3,5,0.6
6575,artifact,ship,deep,7,False,7,,20,True,6,7,0,13,0.46153846153846156,6,7,13,0.46153846153846156,4,13,0.3076923076923077
3411,animal,New_World_warbler,deep,8,True,2,8,8,False,0,6,0,6,0.0,0,4,4,0.0,4,6,0.6666666666666666
15245,plant,cycad,deep,5,True,2,7,7,False,1,4,0,5,0.2,0,3,3,0.0,4,5,0.8
10986,food,ice_cream,deep,6,True,2,6,6,False,2,2,0,4,0.5,2,1,3,0.6666666666666666,1,4,0.25
4368,body_part,bone,deep,5,True,1,4,4,False,1,2,0,3,0.3333333333333333,1,2,3,0.3333333333333333,1,3,0.3333333333333333
11263,food,pie,close,4,True,1,6,6,False,2,3,0,5,0.4,0,3,3,0.0,3,5,0.6
16864,plant,tree,close,4,False,5,,20,True,9,6,0,15,0.6,9,5,14,0.6428571428571429,8,15,0.5333333333333333
17361,plant,magnolia,deep,6,True,1,5,5,False,2,2,0,4,0.5,2,2,4,0.5,2,4,0.5
1551,body_part,bone,deep,5,True,1,2,2,False,0,1,0,1,0.0,0,1,1,0.0,1,1,1.0
16096,plant,conifer,deep,6,True,1,5,5,False,1,3,0,4,0.25,1,1,2,0.5,1,4,0.25
9650,body_part,mucous_membrane,deep,5,True,1,5,5,False,3,1,0,4,0.75,2,1,3,0.6666666666666666,1,4,0.25
4313,body_part,bone,deep,5,False,6,,20,True,10,4,0,14,0.7142857142857143,5,0,5,1.0,2,14,0.14285714285714285
17047,plant,woody_plant,close,3,True,1,6,6,False,1,4,0,5,0.2,1,2,3,0.3333333333333333,2,5,0.4
11006,food,dessert,close,4,True,1,5,5,False,1,3,0,4,0.25,0,2,2,0.0,2,4,0.5
9433,body_part,muscle,close,4,True,1,6,6,False,2,3,0,5,0.4,0,1,1,0.0,1,5,0.2
15508,plant,woody_plant,close,3,True,2,7,7,False,2,3,0,5,0.4,0,2,2,0.0,1,5,0.2
