game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,True,4,16,16,False,7,5,0,12,0.5833333333333334,7,5,12,0.5833333333333334,4,12,0.3333333333333333
16467,plant,conifer,deep,6,True,2,8,8,False,3,3,0,6,0.5,1,2,3,0.3333333333333333,2,6,0.3333333333333333
11199,food,pie,close,4,False,6,,20,True,12,2,0,14,0.8571428571428571,10,2,12,0.8333333333333334,5,14,0.35714285714285715
16120,plant,woody_plant,close,3,False,5,,20,True,6,9,0,15,0.4,5,8,13,0.38461538461538464,8,15,0.5333333333333333
1154,animal,aquatic_vertebrate,close,4,True,5,18,18,False,9,4,0,13,0.6923076923076923,9,4,13,0.6923076923076923,7,13,0.5384615384615384
62,animal,vertebrate,close,3,False,1,,20,True,13,6,0,19,0.6842105263157895,0,0,0,0,13,19,0.6842105263157895
16152,plant,conifer,deep,6,False,2,,20,True,15,3,0,18,0.8333333333333334,15,3,18,0.8333333333333334,3,18,0.16666666666666666
9624,body_part,sense_organ,close,3,True,3,11,11,False,3,5,0,8,0.375,3,5,8,0.375,5,8,0.625
4779,artifact,electrical_device,close,4,False,6,,20,True,11,3,0,14,0.7857142857142857,11,3,14,0.7857142857142857,2,14,0.14285714285714285
17775,plant,angiosperm,close,4,True,3,17,17,False,11,3,0,14,0.7857142857142857,6,2,8,0.75,7,14,0.5
4032,body_part,internal_organ,close,3,False,8,,20,True,5,7,0,12,0.4166666666666667,5,7,12,0.4166666666666667,5,12,0.4166666666666667
15613,plant,tree,close,4,False,5,,20,True,6,9,0,15,0.4,2,1,3,0.6666666666666666,10,15,0.6666666666666666
4784,artifact,electrical_device,close,4,False,6,,20,True,11,3,0,14,0.7857142857142857,7,1,8,0.875,4,14,0.2857142857142857
6359,artifact,bag,close,4,False,4,,20,True,12,4,0,16,0.75,10,4,14,0.7142857142857143,2,16,0.125
9457,body_part,muscle,close,4,False,4,,20,True,10,6,0,16,0.625,6,3,9,0.6666666666666666,6,16,0.375
10529,food,sugar,deep,6,False,6,,20,True,14,0,0,14,1.0,6,0,6,1.0,3,14,0.21428571428571427
6575,artifact,ship,deep,7,False,3,,20,True,13,4,0,17,0.7647058823529411,13,4,17,0.7647058823529411,3,17,0.17647058823529413
3411,animal,New_World_warbler,deep,8,False,2,,20,True,12,6,0,18,0.6666666666666666,12,6,18,0.6666666666666666,7,18,0.3888888888888889
15245,plant,cycad,deep,5,False,6,,20,True,13,1,0,14,0.9285714285714286,12,1,13,0.9230769230769231,6,14,0.42857142857142855
10986,food,ice_cream,deep,6,True,4,14,14,False,7,3,0,10,0.7,7,3,10,0.7,3,10,0.3
4368,body_part,bone,deep,5,False,5,,20,True,8,7,0,15,0.5333333333333333,8,7,15,0.5333333333333333,7,15,0.4666666666666667
11263,food,pie,close,4,False,2,,14,False,8,4,0,12,0.6666666666666666,7,4,11,0.6363636363636364,6,12,0.5
