game_id,target_property,sampling_hypothesis,distance_group,distance,success,guess_count,turns_to_solution,total_turns,max_turns_reached,positive_testing_queries,negative_testing_queries,unlabeled_test_queries,total_test_queries,positive_testing_bias,filtered_positive_testing_queries,filtered_negative_testing_queries,filtered_labeled_test_queries,filtered_positive_testing_bias,conclusive_falsification_turns,evaluable_conclusive_falsification_turns,conclusive_falsification_rate
9616,body_part,sense_organ,close,3,True,1,4,4,False,1,2,0,3,0.3333333333333333,1,1,2,0.5,1,3,0.3333333333333333
16467,plant,conifer,deep,6,True,1,4,4,False,0,3,0,3,0.0,0,2,2,0.0,2,3,0.6666666666666666
11199,food,pie,close,4,True,1,7,7,False,1,5,0,6,0.16666666666666666,1,4,5,0.2,3,6,0.5
16120,plant,woody_plant,close,3,True,1,3,3,False,1,1,0,2,0.5,1,1,2,0.5,0,2,0.0
1154,animal,aquatic_vertebrate,close,4,True,1,6,6,False,1,4,0,5,0.2,0,2,2,0.0,4,5,0.8
62,animal,vertebrate,close,3,True,1,4,4,False,1,2,0,3,0.3333333333333333,1,1,2,0.5,1,3,0.3333333333333333
16152,plant,conifer,deep,6,True,2,7,7,False,1,4,0,5,0.2,1,3,4,0.25,2,5,0.4
9624,body_part,sense_organ,close,3,True,2,7,7,False,1,4,0,5,0.2,1,4,5,0.2,3,5,0.6
4779,artifact,electrical_device,close,4,False,6,,20,True,5,9,0,14,0.35714285714285715,2,4,6,0.3333333333333333,6,14,0.42857142857142855
17775,plant,angiosperm,close,4,True,1,5,5,False,1,3,0,4,0.25,0,1,1,0.0,1,4,0.25
4032,body_part,internal_organ,close,3,True,1,5,5,False,2,2,0,4,0.5,1,1,2,0.5,1,4,0.25
15613,plant,tree,close,4,False,5,,20,True,7,8,0,15,0.4666666666666667,4,3,7,0.5714285714285714,9,15,0.6
4784,artifact,electrical_device,close,4,True,2,6,6,False,2,2,0,4,0.5,0,0,0,0,1,4,0.25
6359,artifact,bag,close,4,False,6,,20,True,5,9,0,14,0.35714285714285715,1,2,3,0.3333333333333333,6,14,0.42857142857142855
9457,body_part,muscle,close,4,True,1,5,5,False,0,4,0,4,0.0,0,2,2,0.0,2,4,0.5
10529,food,sugar,deep,6,True,1,4,4,False,0,3,0,3,0.0,0,2,2,0.0,2,3,0.6666666666666666
6575,artifact,ship,deep,7,False,4,,20,True,10,6,0,16,0.625,4,4,8,0.5,5,16,0.3125
3411,animal,New_World_warbler,deep,8,True,1,4,4,False,0,3,0,3,0.0,0,3,3,0.0,3,3,1.0
15245,plant,cycad,deep,5,True,1,4,4,False,0,3,0,3,0.0,0,2,2,0.0,2,3,0.6666666666666666
10986,food,ice_cream,deep,6,True,1,6,6,False,0,5,0,5,0.0,0,2,2,0.0,3,5,0.6
4368,body_part,bone,deep,5,True,2,8,8,False,2,4,0,6,0.3333333333333333,2,2,4,0.5,2,6,0.3333333333333333
11263,food,pie,close,4,True,1,4,4,False,0,3,0,3,0.0,0,0,0,0,2,3,0.6666666666666666
16864,plant,tree,close,4,True,1,4,4,False,1,2,0,3,0.3333333333333333,0,2,2,0.0,1,3,0.3333333333333333
17361,plant,magnolia,deep,6,True,1,4,4,False,0,3,0,3,0.0,0,2,2,0.0,2,3,0.6666666666666666
1551,body_part,bone,deep,5,True,1,4,4,False,1,2,0,3,0.3333333333333333,1,1,2,0.5,1,3,0.3333333333333333
16096,plant,conifer,deep,6,True,1,4,4,False,0,3,0,3,0.0,0,2,2,0.0,2,3,0.6666666666666666
9650,body_part,mucous_membrane,deep,5,True,1,4,4,False,1,2,0,3,0.3333333333333333,0,1,1,0.0,2,3,0.6666666666666666
4313,body_part,bone,deep,5,True,1,4,4,False,1,2,0,3,0.3333333333333333,1,1,2,0.5,1,3,0.3333333333333333
17047,plant,woody_plant,close,3,True,1,3,3,False,1,1,0,2,0.5,1,0,1,1.0,1,2,0.5
11006,food,dessert,close,4,False,4,,20,True,11,5,0,16,0.6875,2,1,3,0.6666666666666666,10,16,0.625
9433,body_part,muscle,close,4,True,1,5,5,False,1,3,0,4,0.25,1,2,3,0.3333333333333333,1,4,0.25
15508,plant,woody_plant,close,3,True,1,5,5,False,1,3,0,4,0.25,1,1,2,0.5,2,4,0.5
1261,animal,vertebrate,close,3,True,1,5,5,False,0,4,0,4,0.0,0,2,2,0.0,3,4,0.75
11459,food,conserve,deep,6,False,6,,20,True,7,7,0,14,0.5,5,4,9,0.5555555555555556,5,14,0.35714285714285715
11921,food,bread,close,4,False,3,,20,True,5,12,0,17,0.29411764705882354,5,6,11,0.45454545454545453,4,17,0.23529411764705882
15790,plant,fir,deep,7,False,4,,20,True,7,9,0,16,0.4375,1,3,4,0.25,8,16,0.5
11384,food,cake,close,3,True,4,11,11,False,1,6,0,7,0.14285714285714285,0,2,2,0.0,4,7,0.5714285714285714
