model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
openai_gpt-oss-20b,9616,False,close,16,False,0.0,0.125
openai_gpt-oss-20b,16467,True,deep,9,False,0.0,0.0
openai_gpt-oss-20b,11199,False,close,18,False,0.0,0.2222222222222222
openai_gpt-oss-20b,16120,False,close,17,True,0.35294117647058826,0.11764705882352941
openai_gpt-oss-20b,1154,True,close,10,False,0.0,0.2
openai_gpt-oss-20b,62,True,close,8,False,0.0,0.0
openai_gpt-oss-20b,16152,True,deep,6,False,0.0,0.0
openai_gpt-oss-20b,9624,False,close,14,False,0.0,0.07142857142857142
openai_gpt-oss-20b,4779,False,close,11,False,0.0,0.36363636363636365
openai_gpt-oss-20b,17775,False,close,16,True,0.0,0.0625
openai_gpt-oss-20b,4032,True,close,6,False,0.0,0.0
openai_gpt-oss-20b,15613,False,close,18,True,0.4444444444444444,0.5555555555555556
openai_gpt-oss-20b,4784,False,close,14,False,0.0,0.7142857142857143
openai_gpt-oss-20b,6359,False,close,14,False,0.0,0.14285714285714285
openai_gpt-oss-20b,9457,True,close,10,False,0.0,0.1
openai_gpt-oss-20b,10529,True,deep,15,True,0.0,0.06666666666666667
openai_gpt-oss-20b,6575,False,deep,16,False,0.0,0.125
openai_gpt-oss-20b,3411,True,deep,10,False,0.0,0.0
openai_gpt-oss-20b,15245,False,deep,13,True,0.07692307692307693,0.3076923076923077
openai_gpt-oss-20b,10986,True,deep,4,False,0.0,0.0
openai_gpt-oss-20b,4368,False,deep,12,False,0.0,0.0
openai_gpt-oss-20b,11263,False,close,16,False,0.0,0.0
openai_gpt-oss-20b,16864,True,close,10,False,0.0,0.0
openai_gpt-oss-20b,17361,True,deep,6,False,0.0,0.16666666666666666
openai_gpt-oss-20b,1551,False,deep,16,False,0.0,0.0625
openai_gpt-oss-20b,16096,True,deep,10,False,0.0,0.0
openai_gpt-oss-20b,9650,False,deep,7,False,0.0,0.2857142857142857
openai_gpt-oss-20b,4313,False,deep,18,True,0.05555555555555555,0.9444444444444444
openai_gpt-oss-20b,17047,True,close,5,False,0.0,0.0
openai_gpt-oss-20b,11006,True,close,9,False,0.0,0.1111111111111111
openai_gpt-oss-20b,9433,True,close,2,False,0.0,0.0
openai_gpt-oss-20b,15508,True,close,5,True,0.0,0.4
openai_gpt-oss-20b,1261,True,close,5,True,0.0,0.0
openai_gpt-oss-20b,11459,True,deep,4,False,0.0,0.0
openai_gpt-oss-20b,11921,True,close,3,True,0.0,0.3333333333333333
openai_gpt-oss-20b,15790,True,deep,9,True,0.0,0.2222222222222222
openai_gpt-oss-20b,11384,False,close,16,True,0.0,0.375
openai_gpt-oss-20b,6380,False,close,9,True,0.0,0.8888888888888888
openai_gpt-oss-20b,6606,True,deep,8,False,0.0,0.0
openai_gpt-oss-20b,11016,False,deep,19,True,0.0,0.15789473684210525
openai_gpt-oss-20b,1725,False,deep,14,True,0.0,0.21428571428571427
openai_gpt-oss-20b,1066,True,close,15,True,0.06666666666666667,0.2
openai_gpt-oss-20b,6543,False,deep,16,True,0.0,0.125
openai_gpt-oss-20b,11697,True,deep,8,False,0.0,0.125
openai_gpt-oss-20b,5807,False,deep,16,False,0.0,0.0
openai_gpt-oss-20b,9949,False,deep,8,False,0.25,0.0
openai_gpt-oss-20b,17257,True,close,5,False,0.0,0.0
openai_gpt-oss-20b,1136,False,deep,17,True,0.17647058823529413,0.17647058823529413
openai_gpt-oss-20b,12016,True,close,12,False,0.0,0.16666666666666666
openai_gpt-oss-20b,10981,True,deep,4,False,0.0,0.0
openai_gpt-oss-20b,546,True,close,6,False,0.0,0.0
openai_gpt-oss-20b,16249,True,deep,7,False,0.0,0.0
openai_gpt-oss-20b,6347,False,close,9,False,0.1111111111111111,0.5555555555555556
openai_gpt-oss-20b,3947,True,deep,5,False,0.0,0.0
openai_gpt-oss-20b,357,True,close,5,True,0.0,0.0
openai_gpt-oss-20b,5506,False,close,18,False,0.2222222222222222,0.3888888888888889
openai_gpt-oss-20b,4288,False,deep,11,False,0.0,0.2727272727272727
openai_gpt-oss-20b,4458,False,deep,14,False,0.07142857142857142,0.0
openai_gpt-oss-20b,9334,True,close,2,False,0.0,0.0
openai_gpt-oss-20b,819,True,deep,4,False,0.0,0.25
openai_gpt-oss-20b,3172,True,close,4,False,0.0,0.75
openai_gpt-oss-20b,3852,True,deep,6,False,0.0,0.0
openai_gpt-oss-20b,3966,True,deep,12,True,0.0,0.3333333333333333
openai_gpt-oss-20b,17248,False,deep,15,False,0.4,0.0
openai_gpt-oss-20b,15310,True,close,4,True,0.0,0.0
openai_gpt-oss-20b,10994,True,close,10,False,0.0,0.0
openai_gpt-oss-20b,2971,False,deep,14,False,0.0,0.0
openai_gpt-oss-20b,10237,True,deep,5,True,0.0,0.2
openai_gpt-oss-20b,12095,True,deep,10,False,0.0,0.1
openai_gpt-oss-20b,5224,False,deep,16,True,0.0,0.125
openai_gpt-oss-20b,658,True,close,4,False,0.0,0.0
openai_gpt-oss-20b,1943,True,deep,9,False,0.0,0.0
openai_gpt-oss-20b,16414,False,close,13,True,0.07692307692307693,0.15384615384615385
openai_gpt-oss-20b,4348,False,deep,14,True,0.0,0.5714285714285714
openai_gpt-oss-20b,10838,False,close,16,False,0.0,0.3125
openai_gpt-oss-20b,9596,False,close,18,False,0.0,0.0
openai_gpt-oss-20b,3743,True,deep,6,False,0.0,0.0
openai_gpt-oss-20b,4875,False,deep,20,True,0.4,0.45
openai_gpt-oss-20b,11376,True,close,7,False,0.0,0.14285714285714285
openai_gpt-oss-20b,5516,False,close,16,False,0.0,0.125
