model,game_id,success,distance_group,annotated_test_turns,linguistic_shift_present,disjoint_proportion,partial_overlap_proportion
zai-org_GLM-5,9616,False,close,19,True,0.0,0.15789473684210525
zai-org_GLM-5,16467,False,deep,19,True,0.5789473684210527,0.0
zai-org_GLM-5,11199,False,close,20,True,0.05,0.55
zai-org_GLM-5,16120,True,close,6,True,0.0,0.0
zai-org_GLM-5,1154,True,close,6,False,0.0,0.0
zai-org_GLM-5,62,True,close,12,False,0.08333333333333333,0.08333333333333333
zai-org_GLM-5,16152,True,deep,5,False,0.0,0.0
zai-org_GLM-5,9624,False,close,19,True,0.0,0.10526315789473684
zai-org_GLM-5,4779,False,close,20,True,0.35,0.35
zai-org_GLM-5,17775,False,close,19,True,0.05263157894736842,0.05263157894736842
zai-org_GLM-5,4032,True,close,17,True,0.0,0.17647058823529413
zai-org_GLM-5,15613,False,close,20,True,0.65,0.2
zai-org_GLM-5,4784,False,close,19,True,0.631578947368421,0.0
zai-org_GLM-5,6359,False,close,19,True,0.21052631578947367,0.6842105263157895
zai-org_GLM-5,9457,False,close,19,True,0.0,0.21052631578947367
zai-org_GLM-5,10529,False,deep,19,True,0.0,0.15789473684210525
zai-org_GLM-5,6575,False,deep,20,True,0.0,0.0
zai-org_GLM-5,3411,True,deep,10,True,0.0,0.0
zai-org_GLM-5,15245,True,deep,6,True,0.0,0.16666666666666666
zai-org_GLM-5,10986,True,deep,16,True,0.0,0.3125
zai-org_GLM-5,4368,False,deep,20,True,0.0,0.05
zai-org_GLM-5,11263,False,close,19,True,0.0,0.21052631578947367
zai-org_GLM-5,16864,True,close,8,False,0.0,0.0
zai-org_GLM-5,17361,True,deep,7,True,0.0,0.0
zai-org_GLM-5,1551,False,deep,19,True,0.0,0.05263157894736842
zai-org_GLM-5,16096,True,deep,7,True,0.0,0.0
zai-org_GLM-5,9650,True,deep,10,False,0.0,0.0
zai-org_GLM-5,4313,False,deep,19,True,0.05263157894736842,0.10526315789473684
zai-org_GLM-5,17047,True,close,13,True,0.0,0.15384615384615385
zai-org_GLM-5,11006,False,close,19,True,0.0,0.42105263157894735
zai-org_GLM-5,9433,False,close,19,True,0.05263157894736842,0.3157894736842105
zai-org_GLM-5,15508,True,close,6,False,0.16666666666666666,0.16666666666666666
zai-org_GLM-5,1261,True,close,6,False,0.0,0.0
zai-org_GLM-5,11459,True,deep,14,True,0.0,0.0
zai-org_GLM-5,11921,False,close,19,True,0.0,0.42105263157894735
zai-org_GLM-5,15790,False,deep,19,True,0.10526315789473684,0.47368421052631576
zai-org_GLM-5,11384,True,close,9,False,0.0,0.0
zai-org_GLM-5,6380,True,close,14,True,0.35714285714285715,0.21428571428571427
zai-org_GLM-5,6606,True,deep,14,False,0.0,0.14285714285714285
zai-org_GLM-5,11016,True,deep,7,False,0.0,0.0
zai-org_GLM-5,1725,True,deep,5,False,0.0,0.0
zai-org_GLM-5,1066,True,close,5,False,0.2,0.0
zai-org_GLM-5,6543,False,deep,19,True,0.05263157894736842,0.5263157894736842
zai-org_GLM-5,11697,False,deep,19,True,0.0,0.21052631578947367
zai-org_GLM-5,5807,True,deep,17,True,0.058823529411764705,0.17647058823529413
zai-org_GLM-5,9949,False,deep,19,True,0.0,0.3684210526315789
zai-org_GLM-5,17257,False,close,19,True,0.0,0.0
zai-org_GLM-5,1136,True,deep,7,False,0.0,0.0
zai-org_GLM-5,12016,True,close,17,True,0.0,0.11764705882352941
zai-org_GLM-5,10981,True,deep,7,False,0.0,0.0
zai-org_GLM-5,546,True,close,5,False,0.0,0.0
zai-org_GLM-5,16249,False,deep,20,True,0.0,0.5
zai-org_GLM-5,6347,False,close,18,True,0.0,0.4444444444444444
zai-org_GLM-5,3947,True,deep,5,False,0.0,0.0
zai-org_GLM-5,357,True,close,6,False,0.0,0.0
zai-org_GLM-5,5506,False,close,19,True,0.21052631578947367,0.631578947368421
zai-org_GLM-5,4288,True,deep,6,False,0.0,0.0
zai-org_GLM-5,4458,True,deep,7,False,0.0,0.14285714285714285
zai-org_GLM-5,9334,False,close,20,True,0.0,0.15
zai-org_GLM-5,819,True,deep,5,False,0.0,0.0
zai-org_GLM-5,3172,True,close,8,False,0.0,0.125
zai-org_GLM-5,3852,True,deep,10,False,0.0,0.0
zai-org_GLM-5,3966,True,deep,5,False,0.0,0.0
zai-org_GLM-5,17248,True,deep,6,False,0.0,0.0
zai-org_GLM-5,15310,True,close,9,False,0.0,0.0
zai-org_GLM-5,10994,True,close,6,True,0.0,0.0
zai-org_GLM-5,2971,False,deep,19,True,0.10526315789473684,0.10526315789473684
zai-org_GLM-5,10237,False,deep,20,True,0.05,0.4
zai-org_GLM-5,12095,True,deep,12,False,0.0,0.0
zai-org_GLM-5,5224,True,deep,7,False,0.0,0.0
zai-org_GLM-5,658,True,close,5,False,0.0,0.0
zai-org_GLM-5,1943,True,deep,4,False,0.0,0.0
zai-org_GLM-5,16414,True,close,5,True,0.0,0.0
zai-org_GLM-5,4348,True,deep,7,False,0.0,0.0
zai-org_GLM-5,10838,True,close,9,False,0.0,0.0
zai-org_GLM-5,9596,True,close,6,False,0.0,0.0
zai-org_GLM-5,3743,True,deep,6,False,0.0,0.0
zai-org_GLM-5,4875,False,deep,19,True,0.6842105263157895,0.3157894736842105
zai-org_GLM-5,11376,False,close,20,True,0.0,0.3
zai-org_GLM-5,5516,False,close,18,True,0.05555555555555555,0.3333333333333333
zai-org_GLM-5,15598,False,deep,20,True,0.0,0.45
zai-org_GLM-5,11059,True,deep,14,False,0.0,0.0
zai-org_GLM-5,2806,False,close,18,True,0.1111111111111111,0.1111111111111111
zai-org_GLM-5,6607,False,deep,19,True,0.15789473684210525,0.0
zai-org_GLM-5,3192,True,close,4,False,0.0,0.0
zai-org_GLM-5,16469,True,close,13,True,0.23076923076923078,0.0
zai-org_GLM-5,5184,False,deep,19,True,0.2631578947368421,0.05263157894736842
zai-org_GLM-5,5652,False,deep,19,True,0.3157894736842105,0.0
zai-org_GLM-5,4465,False,close,19,True,0.05263157894736842,0.05263157894736842
zai-org_GLM-5,5757,True,deep,8,False,0.0,0.0
zai-org_GLM-5,10074,True,deep,7,False,0.0,0.0
zai-org_GLM-5,5265,True,close,7,False,0.0,0.0
zai-org_GLM-5,4450,True,close,5,False,0.0,0.0
zai-org_GLM-5,5653,False,close,19,True,0.0,0.2631578947368421
zai-org_GLM-5,6396,False,close,19,True,0.10526315789473684,0.7368421052631579
zai-org_GLM-5,4020,True,close,7,False,0.0,0.0
zai-org_GLM-5,10858,True,close,9,True,0.0,0.1111111111111111
zai-org_GLM-5,15611,True,deep,10,False,0.0,0.0
zai-org_GLM-5,12377,True,deep,8,False,0.0,0.0
zai-org_GLM-5,9670,False,deep,19,False,0.0,0.0
